Ticket_ID,Application_ID,Issue_Type,Resolution_Time_Hours,Escalation_Level
TCK00000174,APP0001500,Login,19,Tier 3
TCK00000175,APP0001503,Upload,8,Tier 1
TCK00000176,APP0001507,Upload,20,Tier 1
TCK00000177,APP0001521,Login,25,Tier 1
TCK00000178,APP0001541,Upload,25,Tier 1
TCK00000179,APP0001551,Login,38,Tier 2
TCK00000180,APP0001553,Other,26,Tier 2
TCK00000181,APP0001558,Status Inquiry,23,Tier 1
TCK00000182,APP0001585,Upload,31,Tier 2
TCK00000183,APP0001591,Upload,19,Tier 2
TCK00000184,APP0001601,Upload,7,Tier 2
TCK00000185,APP0001605,Other,1,Tier 1
TCK00000186,APP0001606,Upload,28,Tier 1
TCK00000187,APP0001610,Login,22,Tier 1
TCK00000188,APP0001616,Login,24,Tier 1
TCK00000189,APP0001622,Login,15,Tier 1
TCK00000190,APP0001636,Login,20,Tier 1
TCK00000191,APP0001646,Status Inquiry,33,Tier 1
TCK00000192,APP0001647,Upload,20,Tier 1
TCK00000193,APP0001649,Status Inquiry,9,Tier 2
TCK00000194,APP0001672,Other,14,Tier 1
TCK00000195,APP0001673,Login,29,Tier 1
TCK00000196,APP0001679,Status Inquiry,9,Tier 1
TCK00000197,APP0001682,Status Inquiry,1,Tier 2
TCK00000198,APP0001698,Other,1,Tier 1
TCK00000199,APP0001699,Login,7,Tier 3
TCK00000200,APP0001713,Status Inquiry,24,Tier 2
TCK00000201,APP0001715,Upload,18,Tier 1
TCK00000202,APP0001718,Login,11,Tier 1
TCK00000203,APP0001730,Upload,7,Tier 1
TCK00000204,APP0001735,Other,17,Tier 2
TCK00000205,APP0001744,Upload,16,Tier 1
TCK00000206,APP0001757,Upload,13,Tier 2
TCK00000207,APP0001758,Status Inquiry,16,Tier 2
TCK00000208,APP0001765,Status Inquiry,11,Tier 1
TCK00000209,APP0001781,Status Inquiry,32,Tier 1
TCK00000210,APP0001792,Login,1,Tier 1
TCK00000211,APP0001809,Other,18,Tier 2
TCK00000212,APP0001811,Status Inquiry,9,Tier 1
TCK00000213,APP0001819,Other,23,Tier 2
TCK00000214,APP0001825,Status Inquiry,16,Tier 1
TCK00000215,APP0001838,Status Inquiry,20,Tier 2
TCK00000216,APP0001861,Status Inquiry,22,Tier 1
TCK00000217,APP0001872,Status Inquiry,19,Tier 1
TCK00000218,APP0001897,Login,25,Tier 2
TCK00000219,APP0001903,Status Inquiry,6,Tier 1
TCK00000220,APP0001913,Login,25,Tier 1
TCK00000221,APP0001918,Upload,16,Tier 1
TCK00000222,APP0001934,Upload,21,Tier 2
TCK00000223,APP0001940,Upload,30,Tier 1
TCK00000224,APP0001946,Status Inquiry,26,Tier 1
TCK00000225,APP0001951,Status Inquiry,33,Tier 1
TCK00000226,APP0001975,Other,1,Tier 1
TCK00000227,APP0001981,Status Inquiry,10,Tier 1
TCK00000228,APP0001987,Status Inquiry,25,Tier 1
TCK00000229,APP0001988,Login,8,Tier 1
TCK00000230,APP0001991,Upload,16,Tier 3
TCK00000231,APP0002018,Status Inquiry,31,Tier 1
TCK00000232,APP0002020,Upload,24,Tier 1
TCK00000233,APP0002024,Upload,10,Tier 1
TCK00000234,APP0002025,Status Inquiry,21,Tier 2
TCK00000235,APP0002028,Login,23,Tier 2
TCK00000236,APP0002029,Status Inquiry,18,Tier 1
TCK00000237,APP0002033,Status Inquiry,17,Tier 1
TCK00000238,APP0002044,Login,19,Tier 2
TCK00000239,APP0002045,Upload,5,Tier 2
TCK00000240,APP0002069,Other,19,Tier 1
TCK00000241,APP0002078,Upload,10,Tier 1
TCK00000242,APP0002088,Login,21,Tier 2
TCK00000243,APP0002119,Login,21,Tier 1
TCK00000244,APP0002123,Upload,10,Tier 2
TCK00000245,APP0002125,Login,22,Tier 1
TCK00000246,APP0002163,Login,20,Tier 2
TCK00000247,APP0002171,Login,17,Tier 1
TCK00000248,APP0002185,Status Inquiry,23,Tier 2
TCK00000249,APP0002197,Other,15,Tier 1
TCK00000250,APP0002205,Login,15,Tier 1
TCK00000251,APP0002270,Upload,18,Tier 1
TCK00000252,APP0002290,Status Inquiry,17,Tier 1
TCK00000253,APP0002292,Login,27,Tier 2
TCK00000254,APP0002296,Status Inquiry,1,Tier 1
TCK00000255,APP0002299,Status Inquiry,15,Tier 2
TCK00000256,APP0002310,Status Inquiry,1,Tier 1
TCK00000257,APP0002326,Upload,13,Tier 2
TCK00000258,APP0002328,Status Inquiry,19,Tier 1
TCK00000259,APP0002332,Status Inquiry,17,Tier 1
TCK00000260,APP0002356,Upload,25,Tier 1
TCK00000261,APP0002365,Login,20,Tier 1
TCK00000262,APP0002366,Other,1,Tier 1
TCK00000263,APP0002379,Upload,8,Tier 2
TCK00000264,APP0002380,Upload,30,Tier 1
TCK00000265,APP0002405,Other,30,Tier 1
TCK00000266,APP0002408,Status Inquiry,18,Tier 1
TCK00000267,APP0002417,Status Inquiry,5,Tier 1
TCK00000268,APP0002421,Status Inquiry,34,Tier 1
TCK00000269,APP0002423,Status Inquiry,1,Tier 1
TCK00000270,APP0002427,Status Inquiry,20,Tier 1
TCK00000271,APP0002428,Other,17,Tier 2
TCK00000272,APP0002431,Status Inquiry,19,Tier 1
TCK00000273,APP0002451,Status Inquiry,8,Tier 1
TCK00000274,APP0002455,Status Inquiry,14,Tier 1
TCK00000275,APP0002460,Login,26,Tier 1
TCK00000276,APP0002469,Other,13,Tier 1
TCK00000277,APP0002480,Status Inquiry,6,Tier 2
TCK00000278,APP0002482,Login,17,Tier 2
TCK00000279,APP0002485,Status Inquiry,18,Tier 1
TCK00000280,APP0002489,Status Inquiry,16,Tier 2
TCK00000281,APP0002491,Upload,10,Tier 2
TCK00000282,APP0002493,Upload,21,Tier 1
TCK00000283,APP0002504,Upload,16,Tier 1
TCK00000284,APP0002507,Login,7,Tier 3
TCK00000285,APP0002511,Upload,19,Tier 2
TCK00000286,APP0002517,Status Inquiry,17,Tier 1
TCK00000287,APP0002522,Status Inquiry,18,Tier 1
TCK00000288,APP0002538,Upload,3,Tier 2
TCK00000289,APP0002545,Status Inquiry,11,Tier 1
TCK00000290,APP0002550,Status Inquiry,20,Tier 1
TCK00000291,APP0002551,Other,24,Tier 1
TCK00000292,APP0002561,Upload,20,Tier 2
TCK00000293,APP0002566,Login,18,Tier 1
TCK00000294,APP0002588,Login,23,Tier 1
TCK00000295,APP0002602,Upload,25,Tier 2
TCK00000296,APP0002614,Upload,31,Tier 1
TCK00000297,APP0002619,Login,21,Tier 1
TCK00000298,APP0002634,Login,13,Tier 2
TCK00000299,APP0002639,Other,21,Tier 2
TCK00000300,APP0002642,Status Inquiry,2,Tier 1
TCK00000301,APP0002645,Other,18,Tier 2
TCK00000302,APP0002647,Upload,14,Tier 2
TCK00000303,APP0002672,Upload,17,Tier 1
TCK00000304,APP0002678,Upload,21,Tier 1
TCK00000305,APP0002693,Upload,18,Tier 1
TCK00000306,APP0002698,Login,6,Tier 2
TCK00000307,APP0002708,Upload,14,Tier 1
TCK00000308,APP0002712,Status Inquiry,11,Tier 1
TCK00000309,APP0002720,Upload,17,Tier 1
TCK00000310,APP0002734,Other,20,Tier 2
TCK00000311,APP0002737,Other,10,Tier 3
TCK00000312,APP0002755,Login,23,Tier 1
TCK00000313,APP0002756,Upload,28,Tier 1
TCK00000314,APP0002764,Status Inquiry,15,Tier 1
TCK00000315,APP0002767,Upload,23,Tier 1
TCK00000316,APP0002771,Other,6,Tier 1
TCK00000317,APP0002777,Upload,13,Tier 1
TCK00000318,APP0002779,Status Inquiry,25,Tier 1
TCK00000319,APP0002792,Upload,3,Tier 1
TCK00000320,APP0002803,Status Inquiry,13,Tier 1
TCK00000321,APP0002807,Login,10,Tier 2
TCK00000322,APP0002839,Status Inquiry,27,Tier 1
TCK00000323,APP0002850,Status Inquiry,27,Tier 2
TCK00000324,APP0002851,Upload,12,Tier 1
TCK00000325,APP0002853,Upload,18,Tier 3
TCK00000326,APP0002858,Upload,1,Tier 1
TCK00000327,APP0002867,Login,24,Tier 1
TCK00000328,APP0002868,Upload,20,Tier 2
TCK00000329,APP0002876,Upload,28,Tier 1
TCK00000330,APP0002879,Upload,1,Tier 2
TCK00000331,APP0002880,Upload,20,Tier 1
TCK00000332,APP0002881,Status Inquiry,15,Tier 2
TCK00000333,APP0002887,Login,1,Tier 1
TCK00000334,APP0002912,Status Inquiry,12,Tier 1
TCK00000335,APP0002916,Status Inquiry,17,Tier 1
TCK00000336,APP0002932,Upload,24,Tier 1
TCK00000337,APP0002938,Login,19,Tier 1
TCK00000338,APP0002941,Status Inquiry,13,Tier 1
TCK00000339,APP0002946,Status Inquiry,21,Tier 1
TCK00000340,APP0002967,Upload,17,Tier 1
TCK00000341,APP0002979,Other,12,Tier 1
TCK00000342,APP0002980,Upload,9,Tier 1
TCK00000343,APP0002984,Status Inquiry,19,Tier 1
TCK00000344,APP0002987,Status Inquiry,19,Tier 1
TCK00000345,APP0002999,Upload,32,Tier 1
TCK00000346,APP0003002,Status Inquiry,14,Tier 1
TCK00000347,APP0003010,Login,30,Tier 1
TCK00000348,APP0003014,Upload,20,Tier 1
TCK00000349,APP0003019,Upload,27,Tier 1
TCK00000350,APP0003029,Other,10,Tier 1
TCK00000351,APP0003034,Status Inquiry,10,Tier 2
TCK00000352,APP0003042,Login,15,Tier 2
TCK00000353,APP0003044,Status Inquiry,25,Tier 1
TCK00000354,APP0003046,Login,19,Tier 1
TCK00000355,APP0003049,Upload,24,Tier 1
TCK00000356,APP0003054,Other,20,Tier 1
TCK00000357,APP0003062,Upload,26,Tier 2
TCK00000358,APP0003063,Login,19,Tier 2
TCK00000359,APP0003064,Other,13,Tier 1
TCK00000360,APP0003079,Login,22,Tier 1
TCK00000361,APP0003111,Upload,18,Tier 2
TCK00000362,APP0003112,Upload,31,Tier 1
TCK00000363,APP0003143,Other,16,Tier 1
TCK00000364,APP0003151,Status Inquiry,18,Tier 1
TCK00000365,APP0003160,Status Inquiry,15,Tier 1
TCK00000366,APP0003168,Login,27,Tier 1
TCK00000367,APP0003171,Upload,24,Tier 1
TCK00000368,APP0003176,Status Inquiry,23,Tier 1
TCK00000369,APP0003184,Upload,8,Tier 1
TCK00000370,APP0003197,Login,5,Tier 2
TCK00000371,APP0003207,Status Inquiry,20,Tier 3
TCK00000372,APP0003209,Upload,23,Tier 1
TCK00000373,APP0003210,Upload,29,Tier 1
TCK00000374,APP0003216,Login,3,Tier 1
TCK00000375,APP0003227,Login,16,Tier 2
TCK00000376,APP0003237,Upload,4,Tier 1
TCK00000377,APP0003241,Status Inquiry,10,Tier 1
TCK00000378,APP0003254,Status Inquiry,16,Tier 1
TCK00000379,APP0003255,Other,25,Tier 2
TCK00000380,APP0003263,Upload,13,Tier 1
TCK00000381,APP0003267,Status Inquiry,12,Tier 1
TCK00000382,APP0003268,Upload,15,Tier 1
TCK00000383,APP0003274,Status Inquiry,28,Tier 2
TCK00000384,APP0003281,Upload,37,Tier 1
TCK00000385,APP0003293,Login,5,Tier 2
TCK00000386,APP0003296,Login,15,Tier 1
TCK00000387,APP0003297,Login,14,Tier 1
TCK00000388,APP0003319,Status Inquiry,27,Tier 1
TCK00000389,APP0003333,Login,21,Tier 1
TCK00000390,APP0003340,Upload,30,Tier 2
TCK00000391,APP0003343,Upload,9,Tier 2
TCK00000392,APP0003350,Status Inquiry,18,Tier 1
TCK00000393,APP0003359,Upload,14,Tier 1
TCK00000394,APP0003375,Login,9,Tier 1
TCK00000395,APP0003378,Upload,16,Tier 1
TCK00000396,APP0003395,Login,8,Tier 2
TCK00000397,APP0003397,Status Inquiry,35,Tier 1
TCK00000398,APP0003406,Upload,21,Tier 2
TCK00000399,APP0003417,Status Inquiry,9,Tier 1
TCK00000400,APP0003419,Login,13,Tier 2
TCK00000401,APP0003427,Status Inquiry,31,Tier 2
TCK00000402,APP0003434,Upload,14,Tier 1
TCK00000403,APP0003437,Other,23,Tier 1
TCK00000404,APP0003466,Other,22,Tier 1
TCK00000405,APP0003477,Login,26,Tier 1
TCK00000406,APP0003478,Status Inquiry,23,Tier 1
TCK00000407,APP0003494,Upload,16,Tier 1
TCK00000408,APP0003516,Status Inquiry,13,Tier 1
TCK00000409,APP0003521,Login,3,Tier 1
TCK00000410,APP0003522,Upload,17,Tier 1
TCK00000411,APP0003525,Status Inquiry,19,Tier 1
TCK00000412,APP0003554,Upload,15,Tier 1
TCK00000413,APP0003569,Upload,16,Tier 1
TCK00000414,APP0003576,Status Inquiry,8,Tier 2
TCK00000415,APP0003580,Other,35,Tier 2
TCK00000416,APP0003606,Upload,13,Tier 1
TCK00000417,APP0003608,Login,9,Tier 1
TCK00000418,APP0003615,Upload,13,Tier 1
TCK00000419,APP0003623,Upload,16,Tier 2
TCK00000420,APP0003633,Upload,23,Tier 1
TCK00000421,APP0003643,Other,1,Tier 2
TCK00000422,APP0003645,Login,22,Tier 2
TCK00000423,APP0003650,Login,13,Tier 1
TCK00000424,APP0003658,Login,16,Tier 1
TCK00000425,APP0003679,Upload,26,Tier 1
TCK00000426,APP0003680,Upload,24,Tier 1
TCK00000427,APP0003703,Upload,12,Tier 1
TCK00000428,APP0003704,Status Inquiry,17,Tier 1
TCK00000429,APP0003708,Upload,32,Tier 2
TCK00000430,APP0003710,Login,28,Tier 1
TCK00000431,APP0003716,Other,24,Tier 1
TCK00000432,APP0003730,Login,18,Tier 1
TCK00000433,APP0003772,Upload,25,Tier 1
TCK00000434,APP0003781,Login,21,Tier 1
TCK00000435,APP0003785,Status Inquiry,13,Tier 1
TCK00000436,APP0003791,Login,10,Tier 2
TCK00000437,APP0003796,Status Inquiry,22,Tier 1
TCK00000438,APP0003800,Upload,21,Tier 1
TCK00000439,APP0003821,Status Inquiry,27,Tier 1
TCK00000440,APP0003834,Upload,14,Tier 1
TCK00000441,APP0003847,Status Inquiry,29,Tier 2
TCK00000442,APP0003860,Login,15,Tier 1
TCK00000443,APP0003865,Upload,28,Tier 2
TCK00000444,APP0003874,Upload,22,Tier 1
TCK00000445,APP0003886,Upload,13,Tier 2
TCK00000446,APP0003891,Login,10,Tier 1
TCK00000447,APP0003901,Upload,17,Tier 2
TCK00000448,APP0003906,Other,15,Tier 1
TCK00000449,APP0003914,Login,25,Tier 1
TCK00000450,APP0003915,Upload,12,Tier 2
TCK00000451,APP0003958,Other,6,Tier 1
TCK00000452,APP0003996,Upload,17,Tier 1
TCK00000453,APP0003998,Upload,33,Tier 3
TCK00000454,APP0004005,Upload,31,Tier 1
TCK00000455,APP0004008,Login,13,Tier 1
TCK00000456,APP0004024,Login,15,Tier 1
TCK00000457,APP0004025,Status Inquiry,20,Tier 1
TCK00000458,APP0004027,Upload,12,Tier 3
TCK00000459,APP0004082,Login,16,Tier 1
TCK00000460,APP0004092,Upload,15,Tier 1
TCK00000461,APP0004102,Other,9,Tier 1
TCK00000462,APP0004108,Login,13,Tier 1
TCK00000463,APP0004124,Status Inquiry,14,Tier 2
TCK00000464,APP0004128,Other,19,Tier 1
TCK00000465,APP0004135,Upload,8,Tier 1
TCK00000466,APP0004143,Login,18,Tier 1
TCK00000467,APP0004148,Upload,10,Tier 1
TCK00000468,APP0004152,Status Inquiry,11,Tier 2
TCK00000469,APP0004181,Status Inquiry,9,Tier 1
TCK00000470,APP0004198,Status Inquiry,50,Tier 1
TCK00000471,APP0004217,Upload,28,Tier 1
TCK00000472,APP0004219,Login,28,Tier 1
TCK00000473,APP0004228,Login,24,Tier 1
TCK00000474,APP0004230,Status Inquiry,16,Tier 1
TCK00000475,APP0004251,Upload,18,Tier 1
TCK00000476,APP0004258,Other,20,Tier 1
TCK00000477,APP0004259,Status Inquiry,21,Tier 1
TCK00000478,APP0004277,Status Inquiry,22,Tier 2
TCK00000479,APP0004286,Upload,30,Tier 2
TCK00000480,APP0004291,Status Inquiry,1,Tier 1
TCK00000481,APP0004310,Login,13,Tier 1
TCK00000482,APP0004317,Upload,23,Tier 2
TCK00000483,APP0004334,Status Inquiry,15,Tier 2
TCK00000484,APP0004338,Upload,16,Tier 1
TCK00000485,APP0004341,Login,29,Tier 2
TCK00000486,APP0004348,Upload,19,Tier 1
TCK00000487,APP0004353,Login,32,Tier 1
TCK00000488,APP0004376,Status Inquiry,17,Tier 2
TCK00000489,APP0004378,Login,19,Tier 2
TCK00000490,APP0004404,Status Inquiry,9,Tier 1
TCK00000491,APP0004412,Login,2,Tier 2
TCK00000492,APP0004422,Login,14,Tier 1
TCK00000493,APP0004427,Login,18,Tier 1
TCK00000494,APP0004446,Upload,15,Tier 2
TCK00000495,APP0004455,Status Inquiry,7,Tier 1
TCK00000496,APP0004459,Other,23,Tier 1
TCK00000497,APP0004461,Upload,18,Tier 1
TCK00000498,APP0004491,Status Inquiry,18,Tier 2
TCK00000499,APP0004496,Status Inquiry,11,Tier 1
TCK00000500,APP0004500,Other,31,Tier 3
TCK00000501,APP0004504,Login,29,Tier 1
TCK00000502,APP0004507,Upload,20,Tier 1
TCK00000503,APP0004509,Upload,17,Tier 1
TCK00000504,APP0004511,Status Inquiry,20,Tier 1
TCK00000505,APP0004514,Other,31,Tier 2
TCK00000506,APP0004515,Status Inquiry,40,Tier 1
TCK00000507,APP0004533,Other,18,Tier 2
TCK00000508,APP0004540,Login,14,Tier 1
TCK00000509,APP0004576,Login,3,Tier 1
TCK00000510,APP0004577,Login,40,Tier 1
TCK00000511,APP0004580,Upload,9,Tier 2
TCK00000512,APP0004586,Upload,24,Tier 1
TCK00000513,APP0004603,Upload,22,Tier 1
TCK00000514,APP0004611,Login,28,Tier 2
TCK00000515,APP0004614,Upload,11,Tier 1
TCK00000516,APP0004621,Status Inquiry,5,Tier 1
TCK00000517,APP0004622,Status Inquiry,19,Tier 2
TCK00000518,APP0004632,Login,21,Tier 2
TCK00000519,APP0004633,Other,27,Tier 2
TCK00000520,APP0004635,Upload,4,Tier 1
TCK00000521,APP0004642,Upload,14,Tier 1
TCK00000522,APP0004660,Other,15,Tier 3
TCK00000523,APP0004711,Login,7,Tier 1
TCK00000524,APP0004726,Upload,16,Tier 1
TCK00000525,APP0004730,Upload,24,Tier 2
TCK00000526,APP0004741,Login,17,Tier 1
TCK00000527,APP0004742,Login,6,Tier 3
TCK00000528,APP0004771,Login,20,Tier 2
TCK00000529,APP0004774,Upload,24,Tier 2
TCK00000530,APP0004798,Login,22,Tier 1
TCK00000531,APP0004800,Login,24,Tier 2
TCK00000532,APP0004806,Other,4,Tier 2
TCK00000533,APP0004811,Upload,21,Tier 2
TCK00000534,APP0004812,Upload,22,Tier 3
TCK00000535,APP0004819,Other,15,Tier 2
TCK00000536,APP0004849,Status Inquiry,17,Tier 1
TCK00000537,APP0004856,Upload,11,Tier 2
TCK00000538,APP0004866,Status Inquiry,27,Tier 1
TCK00000539,APP0004878,Login,15,Tier 1
