Application_ID,Customer_ID,Application_Date,Channel,Current_Status,Drop_Off_Stage
APP0000065,CUST0000065,2025-01-27,Mobile,Abandoned,KYC
APP0000066,CUST0000066,2024-12-27,Web,Completed,Final Approval
APP0000067,CUST0000067,2025-07-27,Mobile,Completed,Final Approval
APP0000068,CUST0000068,2025-01-13,Mobile,Abandoned,KYC
APP0000069,CUST0000069,2024-09-27,Mobile,Completed,Final Approval
APP0000070,CUST0000070,2025-02-18,Mobile,Completed,Final Approval
APP0000071,CUST0000071,2025-06-17,Mobile,Completed,Final Approval
APP0000072,CUST0000072,2024-11-08,Web,Completed,Final Approval
APP0000073,CUST0000073,2025-02-15,Web,Abandoned,Final Approval
APP0000074,CUST0000074,2024-10-17,Branch,Completed,Final Approval
APP0000075,CUST0000075,2025-05-08,Mobile,Completed,Final Approval
APP0000076,CUST0000076,2025-02-20,Mobile,In Progress,Form
APP0000077,CUST0000077,2024-12-29,Web,Abandoned,Document Upload
APP0000078,CUST0000078,2024-11-21,Mobile,Completed,Final Approval
APP0000079,CUST0000079,2025-03-25,Mobile,Abandoned,KYC
APP0000080,CUST0000080,2025-05-02,Web,Completed,Final Approval
APP0000081,CUST0000081,2025-08-09,Mobile,Completed,Final Approval
APP0000082,CUST0000082,2025-02-06,Mobile,Completed,Final Approval
APP0000083,CUST0000083,2024-10-28,Mobile,Completed,Final Approval
APP0000084,CUST0000084,2025-06-30,Web,Abandoned,Form
APP0000085,CUST0000085,2025-04-17,Mobile,Completed,Final Approval
APP0000086,CUST0000086,2025-05-13,Mobile,Abandoned,Form
APP0000087,CUST0000087,2024-10-05,Mobile,Abandoned,Form
APP0000088,CUST0000088,2024-12-23,Web,Completed,Final Approval
APP0000089,CUST0000089,2025-06-07,Web,Abandoned,Document Upload
APP0000090,CUST0000090,2025-06-30,Branch,Completed,Final Approval
APP0000091,CUST0000091,2025-02-05,Web,Completed,Final Approval
APP0000092,CUST0000092,2025-06-20,Mobile,Abandoned,Final Approval
APP0000093,CUST0000093,2025-07-04,Mobile,Completed,Final Approval
APP0000094,CUST0000094,2025-01-19,Mobile,Completed,Final Approval
APP0000095,CUST0000095,2025-07-24,Mobile,Abandoned,Form
APP0000096,CUST0000096,2024-12-14,Web,Completed,Final Approval
APP0000097,CUST0000097,2024-11-26,Mobile,Abandoned,KYC
APP0000098,CUST0000098,2025-05-07,Branch,Abandoned,Form
APP0000099,CUST0000099,2025-04-20,Mobile,Completed,Final Approval
APP0000100,CUST0000100,2024-10-21,Web,In Progress,KYC
APP0000101,CUST0000101,2025-06-30,Web,Abandoned,Document Upload
APP0000102,CUST0000102,2024-11-11,Mobile,Completed,Final Approval
APP0000103,CUST0000103,2025-06-20,Web,Completed,Final Approval
APP0000104,CUST0000104,2024-09-02,Web,Completed,Final Approval
APP0000105,CUST0000105,2025-06-17,Web,Completed,Final Approval
APP0000106,CUST0000106,2025-06-14,Web,Completed,Final Approval
APP0000107,CUST0000107,2025-06-11,Mobile,Abandoned,Form
APP0000108,CUST0000108,2025-04-30,Mobile,Completed,Final Approval
APP0000109,CUST0000109,2025-02-19,Web,Completed,Final Approval
APP0000110,CUST0000110,2025-05-15,Web,Completed,Final Approval
APP0000111,CUST0000111,2024-12-10,Web,In Progress,KYC
APP0000112,CUST0000112,2025-06-11,Mobile,Completed,Final Approval
APP0000113,CUST0000113,2025-03-21,Mobile,Abandoned,Form
APP0000114,CUST0000114,2025-02-14,Mobile,Completed,Final Approval
APP0000115,CUST0000115,2025-03-03,Branch,In Progress,Form
APP0000116,CUST0000116,2025-03-26,Mobile,Completed,Final Approval
APP0000117,CUST0000117,2024-09-13,Mobile,Abandoned,Form
APP0000118,CUST0000118,2024-10-21,Mobile,Rejected,Final Approval
APP0000119,CUST0000119,2024-11-28,Mobile,Completed,Final Approval
APP0000120,CUST0000120,2024-10-11,Mobile,Completed,Final Approval
APP0000121,CUST0000121,2025-02-07,Web,Rejected,KYC
APP0000122,CUST0000122,2025-05-01,Mobile,Completed,Final Approval
APP0000123,CUST0000123,2025-04-26,Mobile,Completed,Final Approval
APP0000124,CUST0000124,2025-02-18,Mobile,Completed,Final Approval
APP0000125,CUST0000125,2025-07-09,Mobile,Abandoned,Form
APP0000126,CUST0000126,2025-03-25,Web,Completed,Final Approval
APP0000127,CUST0000127,2024-09-28,Branch,Completed,Final Approval
APP0000128,CUST0000128,2025-06-06,Web,Completed,Final Approval
APP0000129,CUST0000129,2025-03-28,Web,Abandoned,KYC
APP0000130,CUST0000130,2025-04-19,Mobile,In Progress,Final Approval
APP0000131,CUST0000131,2025-03-25,Web,Completed,Final Approval
APP0000132,CUST0000132,2025-03-21,Mobile,Completed,Final Approval
APP0000133,CUST0000133,2024-10-03,Web,Abandoned,Document Upload
APP0000134,CUST0000134,2025-03-23,Web,Completed,Final Approval
APP0000135,CUST0000135,2025-06-17,Mobile,In Progress,Form
APP0000136,CUST0000136,2024-12-19,Mobile,Completed,Final Approval
APP0000137,CUST0000137,2025-04-08,Mobile,Completed,Final Approval
APP0000138,CUST0000138,2024-09-11,Mobile,In Progress,Document Upload
APP0000139,CUST0000139,2025-01-04,Mobile,Completed,Final Approval
APP0000140,CUST0000140,2025-02-06,Branch,Completed,Final Approval
APP0000141,CUST0000141,2025-08-24,Mobile,Completed,Final Approval
APP0000142,CUST0000142,2024-11-17,Web,Completed,Final Approval
APP0000143,CUST0000143,2024-12-09,Mobile,Completed,Final Approval
APP0000144,CUST0000144,2025-01-27,Mobile,Completed,Final Approval
APP0000145,CUST0000145,2025-08-28,Mobile,In Progress,Document Upload
APP0000146,CUST0000146,2025-07-08,Mobile,Completed,Final Approval
APP0000147,CUST0000147,2024-09-12,Mobile,Completed,Final Approval
APP0000148,CUST0000148,2024-11-24,Mobile,Rejected,Document Upload
APP0000149,CUST0000149,2025-06-26,Mobile,Completed,Final Approval
APP0000150,CUST0000150,2024-09-21,Mobile,In Progress,KYC
APP0000151,CUST0000151,2025-07-09,Web,Completed,Final Approval
APP0000152,CUST0000152,2024-12-11,Web,Completed,Final Approval
APP0000153,CUST0000153,2025-07-31,Mobile,Completed,Final Approval
APP0000154,CUST0000154,2024-12-16,Web,Completed,Final Approval
APP0000155,CUST0000155,2025-02-05,Branch,Abandoned,Document Upload
APP0000156,CUST0000156,2025-04-29,Mobile,Completed,Final Approval
APP0000157,CUST0000157,2024-10-16,Mobile,Rejected,KYC
APP0000158,CUST0000158,2025-03-22,Mobile,Rejected,KYC
APP0000159,CUST0000159,2025-03-03,Mobile,Completed,Final Approval
APP0000160,CUST0000160,2025-06-13,Web,Rejected,Document Upload
APP0000161,CUST0000161,2025-08-29,Web,Completed,Final Approval
APP0000162,CUST0000162,2025-04-30,Mobile,Abandoned,Document Upload
APP0000163,CUST0000163,2025-01-27,Mobile,Completed,Final Approval
APP0000164,CUST0000164,2025-01-26,Web,Completed,Final Approval
APP0000165,CUST0000165,2025-01-30,Mobile,Completed,Final Approval
APP0000166,CUST0000166,2025-06-24,Mobile,Completed,Final Approval
APP0000167,CUST0000167,2024-12-26,Mobile,Completed,Final Approval
APP0000168,CUST0000168,2024-10-30,Web,Completed,Final Approval
APP0000169,CUST0000169,2024-12-31,Web,Completed,Final Approval
APP0000170,CUST0000170,2024-09-08,Web,Completed,Final Approval
APP0000171,CUST0000171,2024-10-08,Web,Completed,Final Approval
APP0000172,CUST0000172,2024-10-02,Mobile,Completed,Final Approval
APP0000173,CUST0000173,2025-06-08,Mobile,In Progress,KYC
APP0000174,CUST0000174,2025-05-21,Web,In Progress,Form
APP0000175,CUST0000175,2025-05-12,Branch,Abandoned,Document Upload
APP0000176,CUST0000176,2025-02-15,Mobile,Completed,Final Approval
APP0000177,CUST0000177,2025-05-19,Mobile,Completed,Final Approval
APP0000178,CUST0000178,2024-10-28,Branch,Completed,Final Approval
APP0000179,CUST0000179,2025-07-25,Mobile,Abandoned,Document Upload
APP0000180,CUST0000180,2025-03-01,Mobile,Completed,Final Approval
APP0000181,CUST0000181,2025-08-08,Mobile,Completed,Final Approval
APP0000182,CUST0000182,2024-10-25,Mobile,Abandoned,Document Upload
APP0000183,CUST0000183,2025-02-28,Web,Completed,Final Approval
APP0000184,CUST0000184,2025-05-12,Web,In Progress,KYC
APP0000185,CUST0000185,2025-02-27,Mobile,Completed,Final Approval
APP0000186,CUST0000186,2025-02-09,Mobile,Completed,Final Approval
APP0000187,CUST0000187,2024-10-30,Mobile,Rejected,Document Upload
APP0000188,CUST0000188,2025-01-17,Mobile,Abandoned,Form
APP0000189,CUST0000189,2024-11-26,Mobile,Completed,Final Approval
APP0000190,CUST0000190,2024-12-19,Mobile,In Progress,Document Upload
APP0000191,CUST0000191,2025-05-07,Web,Completed,Final Approval
APP0000192,CUST0000192,2025-04-18,Branch,Completed,Final Approval
APP0000193,CUST0000193,2025-04-09,Mobile,In Progress,Form
APP0000194,CUST0000194,2025-01-10,Web,Completed,Final Approval
APP0000195,CUST0000195,2025-08-16,Web,Completed,Final Approval
APP0000196,CUST0000196,2024-10-01,Mobile,Completed,Final Approval
APP0000197,CUST0000197,2025-01-03,Branch,Completed,Final Approval
APP0000198,CUST0000198,2024-10-13,Mobile,In Progress,KYC
APP0000199,CUST0000199,2025-01-01,Web,Completed,Final Approval
APP0000200,CUST0000200,2025-08-17,Mobile,Completed,Final Approval
APP0000201,CUST0000201,2025-01-11,Mobile,In Progress,Document Upload
APP0000202,CUST0000202,2025-07-28,Web,Completed,Final Approval
APP0000203,CUST0000203,2025-02-27,Web,Completed,Final Approval
APP0000204,CUST0000204,2025-05-13,Mobile,Completed,Final Approval
APP0000205,CUST0000205,2025-02-13,Web,In Progress,Document Upload
APP0000206,CUST0000206,2024-12-06,Branch,Abandoned,KYC
APP0000207,CUST0000207,2025-06-05,Web,Rejected,Document Upload
APP0000208,CUST0000208,2025-08-19,Web,Completed,Final Approval
APP0000209,CUST0000209,2024-12-05,Mobile,Completed,Final Approval
APP0000210,CUST0000210,2025-06-11,Mobile,Completed,Final Approval
APP0000211,CUST0000211,2024-12-04,Mobile,Completed,Final Approval
APP0000212,CUST0000212,2025-05-19,Web,Abandoned,Form
APP0000213,CUST0000213,2025-06-14,Web,Abandoned,Form
APP0000214,CUST0000214,2025-02-11,Branch,Completed,Final Approval
APP0000215,CUST0000215,2025-05-26,Mobile,Completed,Final Approval
APP0000216,CUST0000216,2024-12-08,Branch,Completed,Final Approval
APP0000217,CUST0000217,2024-09-28,Branch,Abandoned,KYC
APP0000218,CUST0000218,2024-10-05,Web,In Progress,Document Upload
APP0000219,CUST0000219,2025-02-10,Web,Completed,Final Approval
APP0000220,CUST0000220,2025-07-26,Mobile,Abandoned,Form
APP0000221,CUST0000221,2024-10-16,Mobile,Completed,Final Approval
APP0000222,CUST0000222,2025-02-13,Mobile,Completed,Final Approval
APP0000223,CUST0000223,2025-05-14,Mobile,Abandoned,KYC
APP0000224,CUST0000224,2024-11-12,Mobile,Abandoned,KYC
APP0000225,CUST0000225,2025-05-21,Web,Abandoned,KYC
APP0000226,CUST0000226,2024-12-20,Mobile,Completed,Final Approval
APP0000227,CUST0000227,2025-06-22,Mobile,Completed,Final Approval
APP0000228,CUST0000228,2025-03-30,Mobile,Abandoned,Form
APP0000229,CUST0000229,2025-03-18,Web,Completed,Final Approval
APP0000230,CUST0000230,2024-11-03,Branch,Completed,Final Approval
APP0000231,CUST0000231,2025-02-16,Mobile,Completed,Final Approval
APP0000232,CUST0000232,2025-07-09,Web,Completed,Final Approval
APP0000233,CUST0000233,2024-09-07,Branch,Completed,Final Approval
APP0000234,CUST0000234,2025-06-03,Web,In Progress,Form
APP0000235,CUST0000235,2025-02-26,Web,Abandoned,Document Upload
APP0000236,CUST0000236,2025-05-20,Web,Completed,Final Approval
APP0000237,CUST0000237,2025-04-30,Branch,Abandoned,Document Upload
APP0000238,CUST0000238,2025-02-04,Mobile,Completed,Final Approval
APP0000239,CUST0000239,2024-12-21,Web,Completed,Final Approval
APP0000240,CUST0000240,2025-04-16,Mobile,Rejected,KYC
APP0000241,CUST0000241,2024-10-21,Mobile,Completed,Final Approval
APP0000242,CUST0000242,2025-04-01,Web,Completed,Final Approval
APP0000243,CUST0000243,2024-10-04,Web,Abandoned,Form
APP0000244,CUST0000244,2025-04-25,Web,Abandoned,KYC
APP0000245,CUST0000245,2025-04-17,Branch,Abandoned,Document Upload
APP0000246,CUST0000246,2024-09-30,Web,Rejected,KYC
APP0000247,CUST0000247,2025-06-03,Mobile,In Progress,KYC
APP0000248,CUST0000248,2025-01-29,Branch,Completed,Final Approval
APP0000249,CUST0000249,2025-06-14,Mobile,Completed,Final Approval
APP0000250,CUST0000250,2024-09-15,Mobile,Rejected,Document Upload
APP0000251,CUST0000251,2024-11-04,Mobile,Completed,Final Approval
APP0000252,CUST0000252,2025-02-27,Web,Completed,Final Approval
APP0000253,CUST0000253,2024-11-07,Web,Abandoned,KYC
APP0000254,CUST0000254,2024-12-29,Web,Abandoned,KYC
APP0000255,CUST0000255,2025-04-29,Mobile,Abandoned,KYC
APP0000256,CUST0000256,2024-10-22,Web,Abandoned,Form
APP0000257,CUST0000257,2025-05-05,Web,Completed,Final Approval
APP0000258,CUST0000258,2024-10-07,Branch,Abandoned,KYC
APP0000259,CUST0000259,2024-11-02,Mobile,Rejected,Document Upload
APP0000260,CUST0000260,2025-04-02,Web,Completed,Final Approval
APP0000261,CUST0000261,2025-06-16,Web,Abandoned,Final Approval
APP0000262,CUST0000262,2024-11-01,Mobile,Completed,Final Approval
APP0000263,CUST0000263,2024-12-18,Mobile,Completed,Final Approval
APP0000264,CUST0000264,2025-08-03,Mobile,Completed,Final Approval
APP0000265,CUST0000265,2025-08-27,Mobile,Abandoned,Document Upload
APP0000266,CUST0000266,2025-03-31,Mobile,Abandoned,Form
APP0000267,CUST0000267,2025-02-10,Web,Completed,Final Approval
APP0000268,CUST0000268,2025-01-04,Web,Completed,Final Approval
APP0000269,CUST0000269,2025-04-11,Web,Abandoned,KYC
APP0000270,CUST0000270,2025-04-03,Mobile,Abandoned,KYC
APP0000271,CUST0000271,2024-12-16,Mobile,Completed,Final Approval
APP0000272,CUST0000272,2024-09-08,Web,Completed,Final Approval
APP0000273,CUST0000273,2024-10-25,Web,In Progress,Document Upload
APP0000274,CUST0000274,2025-08-15,Web,Abandoned,KYC
APP0000275,CUST0000275,2025-01-30,Web,In Progress,Document Upload
APP0000276,CUST0000276,2025-02-23,Branch,Completed,Final Approval
APP0000277,CUST0000277,2025-02-17,Branch,Completed,Final Approval
APP0000278,CUST0000278,2025-06-12,Web,Abandoned,KYC
APP0000279,CUST0000279,2024-09-23,Mobile,Completed,Final Approval
APP0000280,CUST0000280,2024-09-30,Mobile,Completed,Final Approval
APP0000281,CUST0000281,2024-12-09,Web,Abandoned,Document Upload
APP0000282,CUST0000282,2025-02-24,Mobile,Completed,Final Approval
APP0000283,CUST0000283,2025-05-02,Mobile,Completed,Final Approval
APP0000284,CUST0000284,2025-02-26,Mobile,Completed,Final Approval
APP0000285,CUST0000285,2025-02-08,Branch,Completed,Final Approval
APP0000286,CUST0000286,2025-08-08,Mobile,Completed,Final Approval
APP0000287,CUST0000287,2024-10-28,Web,Rejected,Document Upload
APP0000288,CUST0000288,2025-03-27,Branch,Completed,Final Approval
APP0000289,CUST0000289,2025-03-16,Web,Completed,Final Approval
APP0000290,CUST0000290,2025-02-19,Mobile,Completed,Final Approval
APP0000291,CUST0000291,2025-06-21,Web,Rejected,Document Upload
APP0000292,CUST0000292,2024-12-06,Web,Completed,Final Approval
APP0000293,CUST0000293,2025-08-14,Mobile,Completed,Final Approval
APP0000294,CUST0000294,2024-12-30,Web,Completed,Final Approval
APP0000295,CUST0000295,2025-03-17,Mobile,Abandoned,KYC
APP0000296,CUST0000296,2025-03-09,Web,In Progress,Final Approval
APP0000297,CUST0000297,2025-07-07,Branch,Abandoned,Document Upload
APP0000298,CUST0000298,2025-02-07,Mobile,In Progress,Document Upload
APP0000299,CUST0000299,2024-12-12,Branch,Completed,Final Approval
APP0000300,CUST0000300,2024-09-07,Mobile,Completed,Final Approval
APP0000301,CUST0000301,2025-01-10,Web,In Progress,Form
APP0000302,CUST0000302,2025-06-28,Web,Completed,Final Approval
APP0000303,CUST0000303,2024-09-03,Mobile,Abandoned,KYC
APP0000304,CUST0000304,2025-07-24,Branch,Completed,Final Approval
APP0000305,CUST0000305,2025-03-17,Branch,In Progress,KYC
APP0000306,CUST0000306,2024-10-21,Mobile,Completed,Final Approval
APP0000307,CUST0000307,2024-12-19,Web,Completed,Final Approval
APP0000308,CUST0000308,2025-03-21,Mobile,In Progress,Document Upload
APP0000309,CUST0000309,2024-12-24,Mobile,Abandoned,KYC
APP0000310,CUST0000310,2024-10-09,Mobile,Completed,Final Approval
APP0000311,CUST0000311,2025-05-01,Mobile,Completed,Final Approval
APP0000312,CUST0000312,2025-05-03,Mobile,Abandoned,KYC
APP0000313,CUST0000313,2024-10-13,Mobile,Abandoned,Form
APP0000314,CUST0000314,2024-12-11,Branch,Rejected,Document Upload
APP0000315,CUST0000315,2024-11-28,Mobile,Completed,Final Approval
APP0000316,CUST0000316,2025-04-28,Web,Completed,Final Approval
APP0000317,CUST0000317,2025-05-24,Mobile,Abandoned,Form
APP0000318,CUST0000318,2025-05-23,Mobile,Completed,Final Approval
APP0000319,CUST0000319,2025-08-08,Web,Completed,Final Approval
APP0000320,CUST0000320,2025-06-07,Mobile,Rejected,KYC
APP0000321,CUST0000321,2024-12-26,Mobile,Rejected,Document Upload
APP0000322,CUST0000322,2024-10-09,Branch,Completed,Final Approval
APP0000323,CUST0000323,2025-04-12,Mobile,Abandoned,KYC
APP0000324,CUST0000324,2025-07-31,Mobile,In Progress,Document Upload
APP0000325,CUST0000325,2025-08-21,Web,Completed,Final Approval
APP0000326,CUST0000326,2024-11-23,Mobile,Rejected,KYC
APP0000327,CUST0000327,2024-11-25,Web,Completed,Final Approval
APP0000328,CUST0000328,2024-09-13,Mobile,Completed,Final Approval
APP0000329,CUST0000329,2024-10-21,Mobile,Completed,Final Approval
APP0000330,CUST0000330,2025-03-21,Mobile,Completed,Final Approval
APP0000331,CUST0000331,2025-03-18,Mobile,Completed,Final Approval
APP0000332,CUST0000332,2025-01-13,Web,Completed,Final Approval
APP0000333,CUST0000333,2024-12-22,Branch,Rejected,KYC
APP0000334,CUST0000334,2025-06-29,Web,Completed,Final Approval
APP0000335,CUST0000335,2025-02-14,Mobile,Completed,Final Approval
APP0000336,CUST0000336,2025-06-22,Branch,Abandoned,KYC
APP0000337,CUST0000337,2025-08-17,Web,Abandoned,Form
APP0000338,CUST0000338,2024-12-24,Mobile,Abandoned,KYC
APP0000339,CUST0000339,2024-11-12,Mobile,Completed,Final Approval
APP0000340,CUST0000340,2025-08-13,Mobile,Abandoned,KYC
APP0000341,CUST0000341,2025-04-19,Mobile,Abandoned,Form
APP0000342,CUST0000342,2024-12-15,Mobile,Rejected,Document Upload
APP0000343,CUST0000343,2025-04-14,Mobile,Completed,Final Approval
APP0000344,CUST0000344,2025-03-06,Branch,In Progress,Final Approval
APP0000345,CUST0000345,2025-07-27,Mobile,Abandoned,KYC
APP0000346,CUST0000346,2024-12-02,Mobile,Completed,Final Approval
APP0000347,CUST0000347,2025-08-27,Branch,Completed,Final Approval
APP0000348,CUST0000348,2025-08-07,Mobile,Completed,Final Approval
APP0000349,CUST0000349,2024-11-04,Mobile,Abandoned,Form
APP0000350,CUST0000350,2024-10-30,Mobile,Completed,Final Approval
APP0000351,CUST0000351,2025-03-13,Web,In Progress,Document Upload
APP0000352,CUST0000352,2024-09-16,Mobile,In Progress,Form
APP0000353,CUST0000353,2024-12-18,Web,Completed,Final Approval
APP0000354,CUST0000354,2025-02-05,Web,In Progress,Final Approval
APP0000355,CUST0000355,2025-08-19,Web,Completed,Final Approval
APP0000356,CUST0000356,2025-08-28,Web,Completed,Final Approval
APP0000357,CUST0000357,2024-10-25,Web,Completed,Final Approval
APP0000358,CUST0000358,2025-07-22,Web,In Progress,Final Approval
APP0000359,CUST0000359,2024-10-03,Mobile,In Progress,Form
APP0000360,CUST0000360,2025-05-31,Mobile,Completed,Final Approval
APP0000361,CUST0000361,2025-07-05,Mobile,Completed,Final Approval
APP0000362,CUST0000362,2025-07-22,Mobile,In Progress,Form
APP0000363,CUST0000363,2024-11-20,Mobile,Abandoned,Form
APP0000364,CUST0000364,2025-07-23,Web,In Progress,KYC
APP0000365,CUST0000365,2024-10-12,Mobile,Completed,Final Approval
APP0000366,CUST0000366,2025-03-08,Web,Abandoned,Document Upload
APP0000367,CUST0000367,2025-02-18,Mobile,Completed,Final Approval
APP0000368,CUST0000368,2024-12-24,Branch,In Progress,KYC
APP0000369,CUST0000369,2024-09-08,Mobile,Completed,Final Approval
APP0000370,CUST0000370,2025-06-08,Web,Completed,Final Approval
APP0000371,CUST0000371,2024-12-31,Web,In Progress,Form
APP0000372,CUST0000372,2025-04-29,Mobile,Abandoned,Form
APP0000373,CUST0000373,2025-01-27,Web,Completed,Final Approval
APP0000374,CUST0000374,2025-01-14,Branch,Completed,Final Approval
APP0000375,CUST0000375,2025-07-20,Web,Completed,Final Approval
APP0000376,CUST0000376,2024-10-04,Branch,Completed,Final Approval
APP0000377,CUST0000377,2025-05-26,Mobile,In Progress,KYC
APP0000378,CUST0000378,2025-05-30,Branch,In Progress,KYC
APP0000379,CUST0000379,2025-01-16,Web,Abandoned,KYC
APP0000380,CUST0000380,2024-12-04,Web,Completed,Final Approval
APP0000381,CUST0000381,2024-09-01,Web,Rejected,Document Upload
APP0000382,CUST0000382,2025-08-07,Web,Completed,Final Approval
APP0000383,CUST0000383,2025-08-11,Mobile,Completed,Final Approval
APP0000384,CUST0000384,2024-11-26,Web,Completed,Final Approval
APP0000385,CUST0000385,2024-09-11,Mobile,Completed,Final Approval
APP0000386,CUST0000386,2024-10-14,Web,Rejected,Final Approval
APP0000387,CUST0000387,2024-09-24,Mobile,Abandoned,Form
APP0000388,CUST0000388,2025-06-30,Web,Completed,Final Approval
APP0000389,CUST0000389,2025-07-22,Mobile,Completed,Final Approval
APP0000390,CUST0000390,2024-10-25,Mobile,Completed,Final Approval
APP0000391,CUST0000391,2025-05-30,Mobile,Rejected,Document Upload
APP0000392,CUST0000392,2024-11-04,Mobile,Rejected,Document Upload
APP0000393,CUST0000393,2025-01-12,Web,Completed,Final Approval
APP0000394,CUST0000394,2025-04-06,Mobile,Completed,Final Approval
APP0000395,CUST0000395,2025-05-20,Mobile,In Progress,KYC
APP0000396,CUST0000396,2025-07-16,Mobile,Completed,Final Approval
APP0000397,CUST0000397,2024-09-16,Mobile,Completed,Final Approval
APP0000398,CUST0000398,2024-11-10,Mobile,Abandoned,KYC
APP0000399,CUST0000399,2024-12-11,Mobile,Completed,Final Approval
APP0000400,CUST0000400,2024-12-22,Web,Completed,Final Approval
APP0000401,CUST0000401,2025-08-30,Web,In Progress,Document Upload
APP0000402,CUST0000402,2025-06-10,Branch,Abandoned,Document Upload
APP0000403,CUST0000403,2024-12-25,Mobile,Abandoned,KYC
APP0000404,CUST0000404,2025-08-20,Mobile,Completed,Final Approval
APP0000405,CUST0000405,2025-03-01,Mobile,Completed,Final Approval
APP0000406,CUST0000406,2025-03-01,Web,Abandoned,Form
