Log_ID,Application_ID,Error_Code,Downtime_Minutes,Step_Failed
LOG00000156,APP0000156,API Failure,28,Final Approval
LOG00000157,APP0000157,Upload Error,3,KYC
LOG00000158,APP0000158,None,0,KYC
LOG00000159,APP0000159,None,0,Final Approval
LOG00000160,APP0000160,Upload Error,20,Document Upload
LOG00000161,APP0000161,None,0,Final Approval
LOG00000162,APP0000162,None,0,Document Upload
LOG00000163,APP0000163,Upload Error,54,Final Approval
LOG00000164,APP0000164,None,0,Final Approval
LOG00000165,APP0000165,None,0,Final Approval
LOG00000166,APP0000166,None,0,Final Approval
LOG00000167,APP0000167,None,0,Final Approval
LOG00000168,APP0000168,None,0,Final Approval
LOG00000169,APP0000169,None,0,Final Approval
LOG00000170,APP0000170,API Failure,38,Final Approval
LOG00000171,APP0000171,None,0,Final Approval
LOG00000172,APP0000172,None,0,Final Approval
LOG00000173,APP0000173,API Failure,54,KYC
LOG00000174,APP0000174,None,0,Form
LOG00000175,APP0000175,Upload Error,49,Document Upload
LOG00000176,APP0000176,None,0,Final Approval
LOG00000177,APP0000177,None,0,Final Approval
LOG00000178,APP0000178,API Failure,21,Final Approval
LOG00000179,APP0000179,Upload Error,6,Document Upload
LOG00000180,APP0000180,None,0,Final Approval
LOG00000181,APP0000181,None,0,Final Approval
LOG00000182,APP0000182,None,0,Document Upload
LOG00000183,APP0000183,None,0,Final Approval
LOG00000184,APP0000184,Upload Error,47,KYC
LOG00000185,APP0000185,Timeout,47,Final Approval
LOG00000186,APP0000186,None,0,Final Approval
LOG00000187,APP0000187,Upload Error,53,Document Upload
LOG00000188,APP0000188,None,0,Form
LOG00000189,APP0000189,None,0,Final Approval
LOG00000190,APP0000190,None,0,Document Upload
LOG00000191,APP0000191,None,0,Final Approval
LOG00000192,APP0000192,Upload Error,26,Final Approval
LOG00000193,APP0000193,None,0,Form
LOG00000194,APP0000194,None,0,Final Approval
LOG00000195,APP0000195,None,0,Final Approval
LOG00000196,APP0000196,None,0,Final Approval
LOG00000197,APP0000197,None,0,Final Approval
LOG00000198,APP0000198,Timeout,1,KYC
LOG00000199,APP0000199,None,0,Final Approval
LOG00000200,APP0000200,None,0,Final Approval
LOG00000201,APP0000201,None,0,Document Upload
LOG00000202,APP0000202,None,0,Final Approval
LOG00000203,APP0000203,None,0,Final Approval
LOG00000204,APP0000204,None,0,Final Approval
LOG00000205,APP0000205,None,0,Document Upload
LOG00000206,APP0000206,Timeout,14,KYC
LOG00000207,APP0000207,Upload Error,18,Document Upload
LOG00000208,APP0000208,None,0,Final Approval
LOG00000209,APP0000209,Upload Error,25,Final Approval
LOG00000210,APP0000210,None,0,Final Approval
LOG00000211,APP0000211,None,0,Final Approval
LOG00000212,APP0000212,API Failure,48,Form
LOG00000213,APP0000213,Timeout,12,Form
LOG00000214,APP0000214,None,0,Final Approval
LOG00000215,APP0000215,None,0,Final Approval
LOG00000216,APP0000216,None,0,Final Approval
LOG00000217,APP0000217,API Failure,20,KYC
LOG00000218,APP0000218,Timeout,16,Document Upload
LOG00000219,APP0000219,None,0,Final Approval
LOG00000220,APP0000220,None,0,Form
LOG00000221,APP0000221,None,0,Final Approval
LOG00000222,APP0000222,None,0,Final Approval
LOG00000223,APP0000223,API Failure,25,KYC
LOG00000224,APP0000224,None,0,KYC
LOG00000225,APP0000225,None,0,KYC
LOG00000226,APP0000226,None,0,Final Approval
LOG00000227,APP0000227,None,0,Final Approval
LOG00000228,APP0000228,None,0,Form
LOG00000229,APP0000229,None,0,Final Approval
LOG00000230,APP0000230,None,0,Final Approval
LOG00000231,APP0000231,None,0,Final Approval
LOG00000232,APP0000232,None,0,Final Approval
LOG00000233,APP0000233,None,0,Final Approval
LOG00000234,APP0000234,Upload Error,33,Form
LOG00000235,APP0000235,None,0,Document Upload
LOG00000236,APP0000236,None,0,Final Approval
LOG00000237,APP0000237,Upload Error,8,Document Upload
LOG00000238,APP0000238,None,0,Final Approval
LOG00000239,APP0000239,None,0,Final Approval
LOG00000240,APP0000240,API Failure,27,KYC
LOG00000241,APP0000241,None,0,Final Approval
LOG00000242,APP0000242,None,0,Final Approval
LOG00000243,APP0000243,None,0,Form
LOG00000244,APP0000244,Timeout,58,KYC
LOG00000245,APP0000245,None,0,Document Upload
LOG00000246,APP0000246,API Failure,57,KYC
LOG00000247,APP0000247,None,0,KYC
LOG00000248,APP0000248,None,0,Final Approval
LOG00000249,APP0000249,None,0,Final Approval
LOG00000250,APP0000250,Upload Error,22,Document Upload
LOG00000251,APP0000251,None,0,Final Approval
LOG00000252,APP0000252,None,0,Final Approval
LOG00000253,APP0000253,None,0,KYC
LOG00000254,APP0000254,None,0,KYC
LOG00000255,APP0000255,API Failure,51,KYC
LOG00000256,APP0000256,Timeout,49,Form
LOG00000257,APP0000257,API Failure,34,Final Approval
LOG00000258,APP0000258,Timeout,53,KYC
LOG00000259,APP0000259,API Failure,56,Document Upload
LOG00000260,APP0000260,None,0,Final Approval
LOG00000261,APP0000261,Timeout,42,Final Approval
LOG00000262,APP0000262,None,0,Final Approval
LOG00000263,APP0000263,None,0,Final Approval
LOG00000264,APP0000264,None,0,Final Approval
LOG00000265,APP0000265,Upload Error,49,Document Upload
LOG00000266,APP0000266,None,0,Form
LOG00000267,APP0000267,API Failure,59,Final Approval
LOG00000268,APP0000268,None,0,Final Approval
LOG00000269,APP0000269,None,0,KYC
LOG00000270,APP0000270,Timeout,58,KYC
LOG00000271,APP0000271,None,0,Final Approval
LOG00000272,APP0000272,None,0,Final Approval
LOG00000273,APP0000273,None,0,Document Upload
LOG00000274,APP0000274,Timeout,26,KYC
LOG00000275,APP0000275,API Failure,14,Document Upload
LOG00000276,APP0000276,None,0,Final Approval
LOG00000277,APP0000277,None,0,Final Approval
LOG00000278,APP0000278,None,0,KYC
LOG00000279,APP0000279,None,0,Final Approval
LOG00000280,APP0000280,None,0,Final Approval
LOG00000281,APP0000281,Upload Error,30,Document Upload
LOG00000282,APP0000282,None,0,Final Approval
LOG00000283,APP0000283,None,0,Final Approval
LOG00000284,APP0000284,None,0,Final Approval
LOG00000285,APP0000285,None,0,Final Approval
LOG00000286,APP0000286,None,0,Final Approval
LOG00000287,APP0000287,Timeout,41,Document Upload
LOG00000288,APP0000288,None,0,Final Approval
LOG00000289,APP0000289,None,0,Final Approval
LOG00000290,APP0000290,None,0,Final Approval
LOG00000291,APP0000291,Upload Error,51,Document Upload
LOG00000292,APP0000292,None,0,Final Approval
LOG00000293,APP0000293,Timeout,50,Final Approval
LOG00000294,APP0000294,None,0,Final Approval
LOG00000295,APP0000295,None,0,KYC
LOG00000296,APP0000296,Timeout,2,Final Approval
LOG00000297,APP0000297,Upload Error,48,Document Upload
LOG00000298,APP0000298,None,0,Document Upload
LOG00000299,APP0000299,None,0,Final Approval
LOG00000300,APP0000300,None,0,Final Approval
LOG00000301,APP0000301,None,0,Form
LOG00000302,APP0000302,None,0,Final Approval
LOG00000303,APP0000303,None,0,KYC
LOG00000304,APP0000304,None,0,Final Approval
LOG00000305,APP0000305,None,0,KYC
LOG00000306,APP0000306,None,0,Final Approval
LOG00000307,APP0000307,None,0,Final Approval
LOG00000308,APP0000308,Timeout,46,Document Upload
LOG00000309,APP0000309,None,0,KYC
LOG00000310,APP0000310,None,0,Final Approval
LOG00000311,APP0000311,None,0,Final Approval
LOG00000312,APP0000312,Timeout,13,KYC
LOG00000313,APP0000313,None,0,Form
LOG00000314,APP0000314,API Failure,54,Document Upload
LOG00000315,APP0000315,None,0,Final Approval
LOG00000316,APP0000316,None,0,Final Approval
LOG00000317,APP0000317,Timeout,20,Form
LOG00000318,APP0000318,None,0,Final Approval
LOG00000319,APP0000319,None,0,Final Approval
LOG00000320,APP0000320,Upload Error,7,KYC
LOG00000321,APP0000321,None,0,Document Upload
LOG00000322,APP0000322,None,0,Final Approval
LOG00000323,APP0000323,Timeout,11,KYC
LOG00000324,APP0000324,None,0,Document Upload
LOG00000325,APP0000325,None,0,Final Approval
LOG00000326,APP0000326,None,0,KYC
LOG00000327,APP0000327,None,0,Final Approval
LOG00000328,APP0000328,None,0,Final Approval
LOG00000329,APP0000329,None,0,Final Approval
LOG00000330,APP0000330,None,0,Final Approval
LOG00000331,APP0000331,None,0,Final Approval
LOG00000332,APP0000332,None,0,Final Approval
LOG00000333,APP0000333,Upload Error,11,KYC
LOG00000334,APP0000334,None,0,Final Approval
LOG00000335,APP0000335,None,0,Final Approval
LOG00000336,APP0000336,None,0,KYC
LOG00000337,APP0000337,None,0,Form
LOG00000338,APP0000338,Timeout,24,KYC
LOG00000339,APP0000339,None,0,Final Approval
LOG00000340,APP0000340,Timeout,18,KYC
LOG00000341,APP0000341,Timeout,15,Form
LOG00000342,APP0000342,API Failure,57,Document Upload
LOG00000343,APP0000343,None,0,Final Approval
LOG00000344,APP0000344,Timeout,25,Final Approval
LOG00000345,APP0000345,None,0,KYC
LOG00000346,APP0000346,None,0,Final Approval
LOG00000347,APP0000347,None,0,Final Approval
LOG00000348,APP0000348,None,0,Final Approval
LOG00000349,APP0000349,Timeout,32,Form
LOG00000350,APP0000350,None,0,Final Approval
LOG00000351,APP0000351,API Failure,46,Document Upload
LOG00000352,APP0000352,Timeout,7,Form
LOG00000353,APP0000353,None,0,Final Approval
LOG00000354,APP0000354,None,0,Final Approval
LOG00000355,APP0000355,None,0,Final Approval
LOG00000356,APP0000356,None,0,Final Approval
LOG00000357,APP0000357,None,0,Final Approval
LOG00000358,APP0000358,None,0,Final Approval
LOG00000359,APP0000359,None,0,Form
LOG00000360,APP0000360,None,0,Final Approval
LOG00000361,APP0000361,Timeout,9,Final Approval
LOG00000362,APP0000362,Timeout,30,Form
LOG00000363,APP0000363,None,0,Form
LOG00000364,APP0000364,None,0,KYC
LOG00000365,APP0000365,None,0,Final Approval
LOG00000366,APP0000366,None,0,Document Upload
LOG00000367,APP0000367,None,0,Final Approval
LOG00000368,APP0000368,Timeout,33,KYC
LOG00000369,APP0000369,None,0,Final Approval
LOG00000370,APP0000370,Timeout,19,Final Approval
LOG00000371,APP0000371,None,0,Form
LOG00000372,APP0000372,None,0,Form
LOG00000373,APP0000373,None,0,Final Approval
LOG00000374,APP0000374,None,0,Final Approval
LOG00000375,APP0000375,None,0,Final Approval
LOG00000376,APP0000376,None,0,Final Approval
LOG00000377,APP0000377,Timeout,7,KYC
LOG00000378,APP0000378,None,0,KYC
LOG00000379,APP0000379,Timeout,19,KYC
LOG00000380,APP0000380,None,0,Final Approval
LOG00000381,APP0000381,API Failure,8,Document Upload
LOG00000382,APP0000382,None,0,Final Approval
LOG00000383,APP0000383,None,0,Final Approval
LOG00000384,APP0000384,None,0,Final Approval
LOG00000385,APP0000385,None,0,Final Approval
LOG00000386,APP0000386,Upload Error,22,Final Approval
LOG00000387,APP0000387,None,0,Form
LOG00000388,APP0000388,None,0,Final Approval
LOG00000389,APP0000389,None,0,Final Approval
LOG00000390,APP0000390,None,0,Final Approval
LOG00000391,APP0000391,Timeout,9,Document Upload
LOG00000392,APP0000392,Upload Error,8,Document Upload
LOG00000393,APP0000393,None,0,Final Approval
LOG00000394,APP0000394,None,0,Final Approval
LOG00000395,APP0000395,Upload Error,56,KYC
LOG00000396,APP0000396,None,0,Final Approval
LOG00000397,APP0000397,None,0,Final Approval
LOG00000398,APP0000398,None,0,KYC
LOG00000399,APP0000399,None,0,Final Approval
LOG00000400,APP0000400,API Failure,21,Final Approval
LOG00000401,APP0000401,Timeout,17,Document Upload
LOG00000402,APP0000402,Upload Error,13,Document Upload
LOG00000403,APP0000403,API Failure,24,KYC
LOG00000404,APP0000404,None,0,Final Approval
LOG00000405,APP0000405,None,0,Final Approval
LOG00000406,APP0000406,Timeout,42,Form
LOG00000407,APP0000407,Timeout,47,KYC
LOG00000408,APP0000408,None,0,Final Approval
LOG00000409,APP0000409,Timeout,46,Final Approval
LOG00000410,APP0000410,Timeout,47,Final Approval
LOG00000411,APP0000411,None,0,Final Approval
LOG00000412,APP0000412,API Failure,26,Final Approval
LOG00000413,APP0000413,None,0,Form
LOG00000414,APP0000414,None,0,KYC
LOG00000415,APP0000415,None,0,Final Approval
LOG00000416,APP0000416,None,0,Form
LOG00000417,APP0000417,None,0,Final Approval
LOG00000418,APP0000418,None,0,Final Approval
LOG00000419,APP0000419,None,0,Final Approval
LOG00000420,APP0000420,None,0,Final Approval
LOG00000421,APP0000421,None,0,Final Approval
LOG00000422,APP0000422,Upload Error,29,Document Upload
LOG00000423,APP0000423,Upload Error,18,Document Upload
LOG00000424,APP0000424,None,0,KYC
LOG00000425,APP0000425,None,0,Final Approval
LOG00000426,APP0000426,None,0,Final Approval
LOG00000427,APP0000427,None,0,Document Upload
LOG00000428,APP0000428,None,0,Final Approval
LOG00000429,APP0000429,None,0,Final Approval
LOG00000430,APP0000430,Timeout,20,Form
LOG00000431,APP0000431,Upload Error,23,Document Upload
LOG00000432,APP0000432,API Failure,31,KYC
LOG00000433,APP0000433,None,0,Form
LOG00000434,APP0000434,None,0,Final Approval
LOG00000435,APP0000435,API Failure,56,Document Upload
LOG00000436,APP0000436,None,0,Final Approval
LOG00000437,APP0000437,None,0,Final Approval
LOG00000438,APP0000438,Timeout,10,KYC
LOG00000439,APP0000439,None,0,Final Approval
LOG00000440,APP0000440,Timeout,49,Form
LOG00000441,APP0000441,None,0,Final Approval
LOG00000442,APP0000442,Upload Error,12,Document Upload
LOG00000443,APP0000443,None,0,Final Approval
LOG00000444,APP0000444,Upload Error,33,Final Approval
LOG00000445,APP0000445,None,0,Final Approval
LOG00000446,APP0000446,None,0,Final Approval
LOG00000447,APP0000447,None,0,Final Approval
LOG00000448,APP0000448,None,0,Final Approval
LOG00000449,APP0000449,None,0,Final Approval
LOG00000450,APP0000450,None,0,Final Approval
LOG00000451,APP0000451,API Failure,55,Form
LOG00000452,APP0000452,None,0,Final Approval
LOG00000453,APP0000453,None,0,Final Approval
LOG00000454,APP0000454,None,0,Final Approval
LOG00000455,APP0000455,None,0,Final Approval
LOG00000456,APP0000456,None,0,Final Approval
LOG00000457,APP0000457,None,0,Final Approval
LOG00000458,APP0000458,None,0,Final Approval
LOG00000459,APP0000459,None,0,Final Approval
LOG00000460,APP0000460,None,0,Final Approval
LOG00000461,APP0000461,None,0,Final Approval
LOG00000462,APP0000462,Upload Error,31,Document Upload
LOG00000463,APP0000463,None,0,Form
LOG00000464,APP0000464,None,0,Final Approval
LOG00000465,APP0000465,None,0,Final Approval
LOG00000466,APP0000466,None,0,Final Approval
LOG00000467,APP0000467,None,0,Final Approval
LOG00000468,APP0000468,None,0,Final Approval
LOG00000469,APP0000469,None,0,Final Approval
LOG00000470,APP0000470,None,0,Final Approval
LOG00000471,APP0000471,Timeout,37,KYC
LOG00000472,APP0000472,None,0,Final Approval
LOG00000473,APP0000473,None,0,Final Approval
LOG00000474,APP0000474,None,0,Final Approval
LOG00000475,APP0000475,None,0,Final Approval
LOG00000476,APP0000476,None,0,Final Approval
LOG00000477,APP0000477,None,0,Final Approval
LOG00000478,APP0000478,None,0,Final Approval
LOG00000479,APP0000479,None,0,Form
LOG00000480,APP0000480,None,0,Final Approval
LOG00000481,APP0000481,Timeout,17,Final Approval
LOG00000482,APP0000482,None,0,Final Approval
LOG00000483,APP0000483,None,0,KYC
LOG00000484,APP0000484,None,0,Final Approval
LOG00000485,APP0000485,None,0,Final Approval
LOG00000486,APP0000486,None,0,Final Approval
LOG00000487,APP0000487,Upload Error,22,Document Upload
LOG00000488,APP0000488,None,0,KYC
LOG00000489,APP0000489,Timeout,22,KYC
LOG00000490,APP0000490,API Failure,15,Document Upload
LOG00000491,APP0000491,None,0,Final Approval
LOG00000492,APP0000492,None,0,Final Approval
LOG00000493,APP0000493,None,0,Final Approval
LOG00000494,APP0000494,None,0,Final Approval
LOG00000495,APP0000495,None,0,Final Approval
LOG00000496,APP0000496,None,0,Final Approval
LOG00000497,APP0000497,API Failure,18,KYC
LOG00000498,APP0000498,None,0,Final Approval
LOG00000499,APP0000499,None,0,Final Approval
LOG00000500,APP0000500,None,0,Final Approval
LOG00000501,APP0000501,Upload Error,23,Document Upload
LOG00000502,APP0000502,API Failure,29,Form
LOG00000503,APP0000503,None,0,Final Approval
LOG00000504,APP0000504,None,0,Final Approval
LOG00000505,APP0000505,None,0,Final Approval
LOG00000506,APP0000506,None,0,Final Approval
LOG00000507,APP0000507,None,0,Final Approval
LOG00000508,APP0000508,None,0,Final Approval
LOG00000509,APP0000509,None,0,Final Approval
LOG00000510,APP0000510,None,0,Final Approval
LOG00000511,APP0000511,None,0,Final Approval
LOG00000512,APP0000512,None,0,Final Approval
LOG00000513,APP0000513,Timeout,45,Final Approval
LOG00000514,APP0000514,None,0,Form
LOG00000515,APP0000515,None,0,Final Approval
LOG00000516,APP0000516,None,0,KYC
LOG00000517,APP0000517,None,0,Form
LOG00000518,APP0000518,None,0,Final Approval
LOG00000519,APP0000519,None,0,Final Approval
LOG00000520,APP0000520,None,0,Final Approval
LOG00000521,APP0000521,API Failure,19,Document Upload
LOG00000522,APP0000522,None,0,Final Approval
LOG00000523,APP0000523,Upload Error,48,Document Upload
LOG00000524,APP0000524,API Failure,59,KYC
LOG00000525,APP0000525,Upload Error,18,Document Upload
LOG00000526,APP0000526,None,0,Final Approval
LOG00000527,APP0000527,None,0,KYC
LOG00000528,APP0000528,None,0,Final Approval
LOG00000529,APP0000529,None,0,Document Upload
LOG00000530,APP0000530,None,0,Final Approval
LOG00000531,APP0000531,None,0,Final Approval
LOG00000532,APP0000532,API Failure,26,Form
LOG00000533,APP0000533,None,0,Final Approval
LOG00000534,APP0000534,None,0,Final Approval
LOG00000535,APP0000535,API Failure,16,KYC
LOG00000536,APP0000536,None,0,Final Approval
LOG00000537,APP0000537,Timeout,40,Form
LOG00000538,APP0000538,Timeout,39,KYC
LOG00000539,APP0000539,None,0,Final Approval
LOG00000540,APP0000540,None,0,Final Approval
LOG00000541,APP0000541,None,0,KYC
LOG00000542,APP0000542,None,0,Final Approval
LOG00000543,APP0000543,None,0,Final Approval
LOG00000544,APP0000544,None,0,Form
LOG00000545,APP0000545,None,0,Form
LOG00000546,APP0000546,None,0,Form
LOG00000547,APP0000547,Timeout,29,KYC
LOG00000548,APP0000548,Timeout,17,Final Approval
LOG00000549,APP0000549,None,0,KYC
LOG00000550,APP0000550,None,0,Form
LOG00000551,APP0000551,None,0,Final Approval
LOG00000552,APP0000552,API Failure,8,Form
LOG00000553,APP0000553,None,0,Document Upload
LOG00000554,APP0000554,Timeout,57,KYC
LOG00000555,APP0000555,None,0,Final Approval
LOG00000556,APP0000556,None,0,Final Approval
LOG00000557,APP0000557,Upload Error,35,Document Upload
LOG00000558,APP0000558,API Failure,10,Form
LOG00000559,APP0000559,None,0,KYC
LOG00000560,APP0000560,None,0,Final Approval
LOG00000561,APP0000561,Timeout,48,KYC
LOG00000562,APP0000562,Timeout,47,Form
LOG00000563,APP0000563,None,0,Final Approval
LOG00000564,APP0000564,None,0,KYC
LOG00000565,APP0000565,None,0,Final Approval
LOG00000566,APP0000566,None,0,Document Upload
LOG00000567,APP0000567,None,0,Document Upload
LOG00000568,APP0000568,None,0,Final Approval
LOG00000569,APP0000569,Timeout,54,Final Approval
LOG00000570,APP0000570,None,0,Final Approval
LOG00000571,APP0000571,None,0,Document Upload
LOG00000572,APP0000572,None,0,Final Approval
LOG00000573,APP0000573,None,0,KYC
LOG00000574,APP0000574,None,0,Final Approval
LOG00000575,APP0000575,Timeout,35,Form
LOG00000576,APP0000576,Upload Error,5,Document Upload
LOG00000577,APP0000577,None,0,Form
LOG00000578,APP0000578,None,0,KYC
LOG00000579,APP0000579,None,0,Final Approval
LOG00000580,APP0000580,None,0,Final Approval
LOG00000581,APP0000581,None,0,Final Approval
LOG00000582,APP0000582,None,0,Final Approval
LOG00000583,APP0000583,None,0,Final Approval
LOG00000584,APP0000584,None,0,Document Upload
LOG00000585,APP0000585,None,0,Final Approval
LOG00000586,APP0000586,Upload Error,55,Final Approval
LOG00000587,APP0000587,API Failure,23,Document Upload
LOG00000588,APP0000588,None,0,Final Approval
LOG00000589,APP0000589,None,0,Document Upload
LOG00000590,APP0000590,None,0,Final Approval
LOG00000591,APP0000591,None,0,Final Approval
LOG00000592,APP0000592,None,0,Final Approval
LOG00000593,APP0000593,API Failure,38,KYC
LOG00000594,APP0000594,None,0,Final Approval
LOG00000595,APP0000595,None,0,Form
LOG00000596,APP0000596,None,0,Final Approval
LOG00000597,APP0000597,None,0,KYC
LOG00000598,APP0000598,None,0,Document Upload
LOG00000599,APP0000599,None,0,Document Upload
