Customer_ID,Age,Gender,Location,Occupation,Income_Band,Risk_Segment
CUST0000042,57,Male,Birmingham,Employed - Full Time,High,Medium
CUST0000043,21,Female,Leicester,Self-Employed,Low,Low
CUST0000044,48,Male,Sheffield,Employed - Full Time,Low,Low
CUST0000045,19,Male,London,Employed - Full Time,Low,Low
CUST0000046,30,Male,Glasgow,Employed - Full Time,Medium,Low
CUST0000047,44,Male,Leeds,Employed - Full Time,Medium,Medium
CUST0000048,27,Male,Glasgow,Employed - Part Time,Medium,High
CUST0000049,47,Female,Sheffield,Retired,Low,Medium
CUST0000050,38,Female,Edinburgh,Employed - Full Time,Medium,Medium
CUST0000051,38,Male,London,Self-Employed,Medium,Low
CUST0000052,35,Male,Manchester,Employed - Full Time,High,Low
CUST0000053,52,Male,Belfast,Employed - Full Time,Low,Low
CUST0000054,47,Female,Newcastle,Student,Medium,Medium
CUST0000055,47,Female,Nottingham,Self-Employed,High,Medium
CUST0000056,68,Female,London,Employed - Part Time,Medium,Low
CUST0000057,42,Female,Leeds,Employed - Full Time,Medium,High
CUST0000058,39,Male,Belfast,Employed - Full Time,Medium,Low
CUST0000059,39,Female,Sheffield,Employed - Full Time,Medium,Low
CUST0000060,31,Male,Belfast,Self-Employed,High,Medium
CUST0000061,41,Female,London,Employed - Full Time,Low,Medium
CUST0000062,23,Male,Leicester,Unemployed,Medium,High
CUST0000063,46,Male,Liverpool,Employed - Full Time,Medium,Medium
CUST0000064,18,Male,Birmingham,Student,High,Medium
CUST0000065,44,Female,London,Employed - Full Time,Low,Medium
CUST0000066,48,Other/Prefer not to say,London,Employed - Part Time,Low,Low
CUST0000067,37,Male,Bristol,Employed - Full Time,Medium,Low
CUST0000068,21,Male,Southampton,Employed - Full Time,Medium,Medium
CUST0000069,36,Male,Cardiff,Employed - Full Time,Low,Low
CUST0000070,41,Female,Newcastle,Employed - Full Time,Low,Low
CUST0000071,36,Female,Birmingham,Employed - Full Time,Low,Low
CUST0000072,30,Male,Sheffield,Retired,Medium,Low
CUST0000073,68,Female,Liverpool,Employed - Full Time,Medium,Medium
CUST0000074,32,Other/Prefer not to say,Bristol,Employed - Full Time,Low,Low
CUST0000075,19,Male,Manchester,Employed - Full Time,Low,Medium
CUST0000076,45,Female,Coventry,Unemployed,Low,Low
CUST0000077,32,Male,London,Employed - Part Time,Medium,High
CUST0000078,20,Female,Liverpool,Employed - Full Time,High,Low
CUST0000079,24,Female,Sheffield,Employed - Part Time,Medium,Low
CUST0000080,23,Female,London,Student,Low,Medium
CUST0000081,29,Female,Newcastle,Self-Employed,Low,Low
CUST0000082,55,Female,Cardiff,Self-Employed,Medium,Medium
CUST0000083,31,Male,Cardiff,Self-Employed,Medium,Medium
CUST0000084,40,Male,Leeds,Unemployed,High,Medium
CUST0000085,30,Male,Glasgow,Employed - Full Time,High,Medium
CUST0000086,38,Male,London,Employed - Full Time,Medium,Low
CUST0000087,47,Female,Manchester,Employed - Full Time,Medium,Low
CUST0000088,39,Male,Coventry,Employed - Full Time,Medium,Low
CUST0000089,42,Female,London,Employed - Full Time,Low,Medium
CUST0000090,53,Male,Coventry,Employed - Full Time,High,Low
CUST0000091,38,Male,London,Student,Low,Low
CUST0000092,36,Female,Birmingham,Employed - Full Time,Low,Low
CUST0000093,18,Female,Leeds,Unemployed,Low,Low
CUST0000094,40,Male,Bristol,Employed - Full Time,Medium,Medium
CUST0000095,23,Female,Newcastle,Student,Low,Medium
CUST0000096,23,Male,London,Retired,Medium,Low
CUST0000097,29,Female,Birmingham,Unemployed,Medium,Low
CUST0000098,19,Female,London,Employed - Full Time,Medium,Medium
CUST0000099,28,Male,Edinburgh,Employed - Full Time,Low,Medium
CUST0000100,43,Male,Cardiff,Retired,Medium,Low
CUST0000101,31,Male,Manchester,Unemployed,Low,Medium
CUST0000102,38,Other/Prefer not to say,Manchester,Employed - Full Time,Low,Medium
CUST0000103,22,Male,London,Employed - Full Time,Medium,Medium
CUST0000104,54,Male,Southampton,Employed - Full Time,Medium,Medium
CUST0000105,31,Male,London,Student,Low,Medium
CUST0000106,51,Female,London,Employed - Full Time,High,Medium
CUST0000107,35,Female,London,Student,Medium,Medium
CUST0000108,45,Male,Southampton,Self-Employed,Medium,Medium
CUST0000109,47,Female,London,Unemployed,High,Medium
CUST0000110,22,Female,Leeds,Employed - Full Time,Medium,Medium
CUST0000111,52,Female,London,Employed - Full Time,Medium,Low
CUST0000112,39,Male,London,Unemployed,Low,Low
CUST0000113,41,Female,Southampton,Employed - Part Time,Low,Medium
CUST0000114,43,Male,Liverpool,Employed - Full Time,Medium,High
CUST0000115,40,Female,Bristol,Employed - Full Time,Medium,Medium
CUST0000116,44,Male,London,Employed - Full Time,Low,Medium
CUST0000117,45,Female,Liverpool,Self-Employed,High,Medium
CUST0000118,28,Male,Manchester,Retired,Medium,Medium
CUST0000119,47,Female,Southampton,Self-Employed,Low,Low
CUST0000120,36,Male,London,Employed - Full Time,Medium,Medium
CUST0000121,52,Female,Glasgow,Employed - Full Time,High,High
CUST0000122,28,Male,Southampton,Unemployed,Low,Medium
CUST0000123,20,Female,Manchester,Employed - Full Time,High,Low
CUST0000124,18,Male,Manchester,Self-Employed,Low,Medium
CUST0000125,62,Female,Edinburgh,Employed - Full Time,Low,Low
CUST0000126,36,Female,Manchester,Employed - Full Time,Medium,Medium
CUST0000127,76,Female,Liverpool,Employed - Full Time,Low,Medium
CUST0000128,67,Male,London,Employed - Full Time,Medium,Low
CUST0000129,36,Female,London,Employed - Full Time,Medium,Low
CUST0000130,49,Male,London,Retired,Medium,Medium
CUST0000131,22,Female,Manchester,Student,Low,Medium
CUST0000132,23,Male,Manchester,Employed - Full Time,Low,Low
CUST0000133,36,Female,London,Employed - Full Time,Medium,Medium
CUST0000134,40,Male,Southampton,Employed - Part Time,Low,Low
CUST0000135,38,Female,London,Employed - Part Time,High,High
CUST0000136,58,Male,Sheffield,Self-Employed,Low,Low
CUST0000137,21,Male,Southampton,Retired,High,Low
CUST0000138,49,Male,Coventry,Employed - Full Time,Medium,Medium
CUST0000139,60,Female,London,Self-Employed,Medium,Medium
CUST0000140,20,Male,London,Employed - Full Time,Low,Low
CUST0000141,28,Male,London,Self-Employed,Low,Low
CUST0000142,59,Male,Birmingham,Self-Employed,Medium,Low
CUST0000143,29,Male,London,Employed - Full Time,High,Medium
CUST0000144,35,Female,London,Employed - Full Time,Medium,Low
CUST0000145,29,Male,Cardiff,Employed - Full Time,Low,Low
CUST0000146,27,Male,London,Employed - Full Time,Medium,Low
CUST0000147,66,Male,London,Employed - Full Time,Medium,Low
CUST0000148,41,Female,Manchester,Retired,Low,Low
CUST0000149,47,Female,Leeds,Self-Employed,Medium,Medium
CUST0000150,32,Female,Birmingham,Employed - Full Time,Medium,Low
CUST0000151,27,Female,London,Self-Employed,High,Low
CUST0000152,44,Male,Manchester,Unemployed,Low,Low
CUST0000153,50,Male,Coventry,Self-Employed,Medium,Low
CUST0000154,27,Female,Edinburgh,Retired,Medium,Medium
CUST0000155,29,Male,Sheffield,Self-Employed,Low,Low
CUST0000156,64,Female,London,Employed - Full Time,High,Low
CUST0000157,61,Male,London,Employed - Full Time,High,Medium
CUST0000158,58,Female,London,Employed - Full Time,Medium,Low
CUST0000159,51,Male,Sheffield,Employed - Full Time,High,Low
CUST0000160,25,Female,Newcastle,Employed - Part Time,Medium,Medium
CUST0000161,54,Male,Leicester,Employed - Part Time,Low,Low
CUST0000162,28,Male,Birmingham,Retired,High,Medium
CUST0000163,40,Female,London,Student,Medium,High
CUST0000164,57,Male,Nottingham,Retired,Low,Medium
CUST0000165,44,Female,Nottingham,Employed - Full Time,Medium,Low
CUST0000166,31,Male,London,Unemployed,High,Medium
CUST0000167,49,Female,London,Retired,Medium,Low
CUST0000168,19,Female,Edinburgh,Unemployed,Low,Low
CUST0000169,18,Male,Manchester,Student,Low,Medium
CUST0000170,25,Female,Liverpool,Employed - Full Time,Medium,Medium
CUST0000171,53,Female,Glasgow,Employed - Full Time,Medium,Medium
CUST0000172,27,Other/Prefer not to say,Glasgow,Employed - Full Time,High,High
CUST0000173,19,Male,Nottingham,Employed - Full Time,Low,Low
CUST0000174,46,Male,Coventry,Employed - Full Time,Low,Low
CUST0000175,39,Male,London,Employed - Full Time,Medium,Medium
CUST0000176,67,Male,Edinburgh,Self-Employed,Medium,Low
CUST0000177,22,Male,Nottingham,Retired,Low,Medium
CUST0000178,45,Male,Liverpool,Unemployed,Low,Low
CUST0000179,40,Female,London,Employed - Full Time,Medium,Medium
CUST0000180,61,Male,Glasgow,Self-Employed,Medium,Low
CUST0000181,53,Male,Birmingham,Self-Employed,Medium,Low
CUST0000182,21,Male,London,Employed - Full Time,High,High
CUST0000183,42,Male,Cardiff,Employed - Full Time,High,Low
CUST0000184,40,Female,Edinburgh,Employed - Full Time,High,High
CUST0000185,75,Female,London,Student,Medium,Low
CUST0000186,43,Female,Sheffield,Employed - Full Time,High,Low
CUST0000187,40,Female,Nottingham,Employed - Full Time,Medium,Low
CUST0000188,29,Female,London,Employed - Full Time,Low,Low
CUST0000189,29,Male,London,Employed - Full Time,Low,Low
CUST0000190,31,Female,Liverpool,Student,High,Low
CUST0000191,24,Male,London,Employed - Full Time,Medium,Low
CUST0000192,18,Female,Birmingham,Employed - Full Time,High,Medium
CUST0000193,63,Female,London,Self-Employed,Medium,Medium
CUST0000194,28,Male,Liverpool,Employed - Full Time,High,Low
CUST0000195,30,Female,Belfast,Retired,Medium,Medium
CUST0000196,32,Male,Leeds,Employed - Full Time,Low,Medium
CUST0000197,47,Female,London,Student,Low,Low
CUST0000198,55,Male,Edinburgh,Employed - Full Time,Medium,Medium
CUST0000199,25,Other/Prefer not to say,London,Employed - Full Time,Medium,Low
CUST0000200,29,Female,London,Employed - Full Time,Medium,Low
CUST0000201,38,Female,Belfast,Employed - Part Time,Medium,Medium
CUST0000202,51,Male,Nottingham,Employed - Part Time,High,Medium
CUST0000203,35,Other/Prefer not to say,Cardiff,Employed - Part Time,Medium,Low
CUST0000204,43,Female,Nottingham,Student,Medium,Medium
CUST0000205,51,Female,Sheffield,Student,Medium,Medium
CUST0000206,46,Male,Belfast,Employed - Full Time,Medium,Low
CUST0000207,43,Female,Leicester,Employed - Full Time,Medium,Low
CUST0000208,38,Male,Sheffield,Employed - Full Time,Medium,Low
CUST0000209,34,Male,Edinburgh,Unemployed,Medium,Medium
CUST0000210,23,Male,Sheffield,Employed - Full Time,Medium,Low
CUST0000211,31,Female,London,Employed - Full Time,Low,Medium
CUST0000212,25,Male,Leicester,Student,Low,Low
CUST0000213,37,Male,London,Employed - Full Time,Low,Medium
CUST0000214,29,Male,Nottingham,Student,Medium,High
CUST0000215,35,Male,Leicester,Self-Employed,Low,Low
CUST0000216,28,Female,Birmingham,Employed - Full Time,High,Medium
CUST0000217,31,Male,Sheffield,Retired,Low,Low
CUST0000218,39,Male,London,Retired,Medium,Low
CUST0000219,67,Female,Leeds,Unemployed,High,Low
CUST0000220,21,Female,Nottingham,Employed - Part Time,Medium,Low
CUST0000221,28,Female,Glasgow,Employed - Part Time,Medium,High
CUST0000222,39,Male,London,Student,High,Low
CUST0000223,45,Female,London,Employed - Full Time,Low,Low
CUST0000224,38,Male,Leeds,Employed - Full Time,High,Medium
CUST0000225,40,Female,Belfast,Employed - Part Time,Medium,Low
CUST0000226,26,Female,Glasgow,Employed - Full Time,Medium,Low
CUST0000227,25,Female,London,Employed - Full Time,High,High
CUST0000228,23,Female,Leeds,Employed - Full Time,Low,Low
CUST0000229,71,Male,Coventry,Self-Employed,Medium,Low
CUST0000230,20,Male,London,Employed - Full Time,High,Low
CUST0000231,34,Female,London,Unemployed,Low,Low
CUST0000232,28,Male,Nottingham,Unemployed,Low,Low
CUST0000233,30,Female,Newcastle,Employed - Full Time,Medium,Medium
CUST0000234,38,Male,Manchester,Retired,High,Medium
CUST0000235,49,Male,Newcastle,Self-Employed,Low,Low
CUST0000236,68,Female,Belfast,Retired,Low,Low
CUST0000237,18,Male,Glasgow,Student,Medium,Low
CUST0000238,44,Female,London,Employed - Full Time,Medium,Medium
CUST0000239,28,Other/Prefer not to say,Leeds,Employed - Full Time,Low,High
CUST0000240,55,Male,Leicester,Employed - Full Time,Low,Low
CUST0000241,35,Male,London,Student,High,Medium
CUST0000242,26,Male,London,Self-Employed,Low,Low
CUST0000243,20,Female,Liverpool,Employed - Full Time,Low,Low
CUST0000244,73,Female,Birmingham,Self-Employed,Medium,Medium
CUST0000245,47,Female,London,Unemployed,Medium,Medium
CUST0000246,41,Female,London,Student,Low,Low
CUST0000247,28,Other/Prefer not to say,Southampton,Employed - Full Time,Low,Medium
CUST0000248,38,Female,Manchester,Employed - Full Time,Medium,Medium
CUST0000249,18,Male,Leeds,Employed - Full Time,Low,Medium
CUST0000250,29,Female,Leeds,Employed - Full Time,Medium,Low
CUST0000251,73,Female,London,Employed - Full Time,Medium,Low
CUST0000252,61,Female,Birmingham,Employed - Full Time,Low,High
CUST0000253,27,Female,Southampton,Employed - Part Time,Medium,Low
CUST0000254,53,Female,Belfast,Self-Employed,Low,High
CUST0000255,34,Male,Birmingham,Employed - Full Time,Low,Low
CUST0000256,37,Female,Glasgow,Unemployed,Medium,Medium
CUST0000257,26,Other/Prefer not to say,Leeds,Student,High,Medium
CUST0000258,25,Male,Liverpool,Employed - Full Time,Medium,Medium
CUST0000259,64,Female,Birmingham,Employed - Full Time,Medium,Low
CUST0000260,41,Female,London,Self-Employed,High,Low
CUST0000261,39,Male,Nottingham,Student,Medium,Medium
CUST0000262,70,Female,London,Retired,High,Low
CUST0000263,26,Male,London,Employed - Part Time,Medium,Medium
CUST0000264,21,Female,Manchester,Unemployed,Medium,Low
CUST0000265,23,Other/Prefer not to say,Glasgow,Employed - Part Time,High,Low
CUST0000266,34,Male,Sheffield,Student,Medium,Low
CUST0000267,31,Female,London,Employed - Full Time,Medium,Medium
CUST0000268,32,Male,Liverpool,Employed - Part Time,High,Medium
CUST0000269,35,Male,Glasgow,Employed - Full Time,Low,Low
CUST0000270,42,Male,London,Employed - Full Time,Low,Medium
CUST0000271,52,Male,Manchester,Retired,Low,Medium
CUST0000272,19,Male,Manchester,Employed - Full Time,Low,Medium
CUST0000273,64,Male,Birmingham,Employed - Full Time,Medium,High
CUST0000274,40,Male,Newcastle,Retired,Low,Low
CUST0000275,52,Female,Cardiff,Unemployed,Medium,Medium
CUST0000276,44,Female,Manchester,Employed - Part Time,High,Low
CUST0000277,35,Male,Manchester,Unemployed,Medium,Low
CUST0000278,27,Male,Bristol,Employed - Full Time,Low,Low
CUST0000279,55,Male,Leeds,Employed - Full Time,High,Low
CUST0000280,25,Male,Liverpool,Student,High,Low
CUST0000281,50,Male,Birmingham,Retired,High,Medium
CUST0000282,40,Female,Edinburgh,Employed - Full Time,Medium,Medium
CUST0000283,36,Male,London,Employed - Full Time,Medium,High
CUST0000284,19,Female,London,Employed - Full Time,Medium,Low
CUST0000285,40,Female,Manchester,Employed - Part Time,Low,Low
CUST0000286,21,Female,London,Student,Medium,Low
CUST0000287,52,Female,London,Employed - Full Time,Low,Low
CUST0000288,42,Male,Newcastle,Retired,High,Low
CUST0000289,31,Male,Cardiff,Student,Medium,Medium
CUST0000290,53,Male,Southampton,Retired,Low,Low
CUST0000291,57,Female,London,Employed - Full Time,Medium,Medium
CUST0000292,18,Female,Birmingham,Employed - Part Time,Medium,Low
CUST0000293,47,Male,Bristol,Retired,Medium,Medium
CUST0000294,60,Male,Nottingham,Employed - Full Time,Low,Low
CUST0000295,49,Male,Liverpool,Retired,Medium,Low
CUST0000296,31,Male,Southampton,Self-Employed,Medium,Low
CUST0000297,27,Male,Glasgow,Employed - Full Time,Low,Medium
CUST0000298,36,Male,Southampton,Retired,Low,Medium
CUST0000299,20,Female,London,Student,Medium,Low
CUST0000300,55,Female,Belfast,Unemployed,Medium,Low
CUST0000301,34,Male,Manchester,Employed - Full Time,Medium,Medium
CUST0000302,26,Female,London,Retired,Low,High
CUST0000303,34,Male,London,Employed - Part Time,Medium,Medium
CUST0000304,33,Male,London,Student,Low,Medium
CUST0000305,51,Female,Edinburgh,Employed - Full Time,High,Low
CUST0000306,30,Female,Bristol,Self-Employed,Low,Low
CUST0000307,76,Female,Birmingham,Employed - Full Time,Medium,Low
CUST0000308,47,Female,Leeds,Employed - Full Time,Medium,Medium
CUST0000309,25,Male,Newcastle,Employed - Full Time,High,Low
CUST0000310,35,Female,Manchester,Retired,Low,Medium
CUST0000311,65,Male,Leicester,Student,Low,Medium
CUST0000312,38,Female,Manchester,Employed - Full Time,Low,Medium
CUST0000313,46,Male,Edinburgh,Self-Employed,High,Low
CUST0000314,25,Male,London,Student,Low,Medium
CUST0000315,50,Male,Newcastle,Unemployed,Low,Medium
CUST0000316,50,Female,Birmingham,Employed - Full Time,Low,Medium
CUST0000317,35,Female,London,Employed - Part Time,Medium,Medium
CUST0000318,27,Female,Leeds,Student,Low,Low
CUST0000319,26,Female,Glasgow,Employed - Full Time,Low,Low
CUST0000320,63,Male,Glasgow,Employed - Part Time,Low,High
CUST0000321,36,Female,London,Retired,High,Low
CUST0000322,53,Female,Edinburgh,Retired,Low,Low
CUST0000323,22,Female,London,Unemployed,Medium,Medium
CUST0000324,52,Female,Bristol,Employed - Full Time,Low,Medium
CUST0000325,37,Male,Birmingham,Retired,Medium,Medium
CUST0000326,24,Male,Glasgow,Unemployed,Medium,Low
CUST0000327,28,Male,Belfast,Self-Employed,Medium,High
CUST0000328,39,Female,London,Employed - Full Time,Medium,Low
CUST0000329,33,Male,Newcastle,Employed - Full Time,Medium,Medium
CUST0000330,36,Female,Bristol,Employed - Full Time,Medium,Medium
CUST0000331,54,Other/Prefer not to say,Leeds,Student,Low,High
CUST0000332,34,Female,Birmingham,Employed - Part Time,Medium,Medium
CUST0000333,49,Female,London,Student,Medium,Medium
CUST0000334,18,Male,London,Employed - Part Time,Low,Low
CUST0000335,49,Female,Newcastle,Student,Low,Low
CUST0000336,22,Female,Liverpool,Self-Employed,Medium,Medium
CUST0000337,47,Female,Edinburgh,Employed - Full Time,High,Medium
CUST0000338,43,Female,London,Employed - Full Time,High,Medium
CUST0000339,66,Female,Cardiff,Self-Employed,Medium,Medium
CUST0000340,59,Female,London,Employed - Full Time,Medium,Low
CUST0000341,51,Female,Birmingham,Self-Employed,Low,Medium
CUST0000342,59,Female,Manchester,Student,Medium,Low
CUST0000343,30,Female,Glasgow,Unemployed,Low,Low
CUST0000344,44,Female,Newcastle,Unemployed,Low,Low
CUST0000345,27,Female,London,Employed - Full Time,Medium,Low
CUST0000346,31,Male,London,Employed - Full Time,Medium,Medium
CUST0000347,58,Male,Liverpool,Employed - Full Time,Low,Low
CUST0000348,38,Female,Leeds,Retired,Medium,Low
CUST0000349,55,Other/Prefer not to say,Glasgow,Employed - Part Time,High,Low
CUST0000350,37,Female,Cardiff,Employed - Full Time,Low,Low
CUST0000351,42,Male,Liverpool,Employed - Full Time,Medium,Low
CUST0000352,54,Female,London,Employed - Part Time,Medium,Medium
CUST0000353,25,Male,London,Employed - Full Time,Medium,Low
CUST0000354,36,Male,Nottingham,Retired,Low,Low
CUST0000355,36,Female,London,Employed - Full Time,High,High
CUST0000356,24,Male,Leicester,Unemployed,High,Medium
CUST0000357,53,Male,London,Student,Low,Medium
CUST0000358,20,Male,Manchester,Employed - Part Time,Medium,Medium
CUST0000359,55,Male,Belfast,Student,Low,Low
CUST0000360,33,Male,London,Student,Medium,Low
CUST0000361,33,Female,Nottingham,Student,Medium,Low
CUST0000362,25,Female,London,Self-Employed,Medium,Low
CUST0000363,38,Male,Manchester,Employed - Full Time,Medium,Low
CUST0000364,21,Female,Glasgow,Employed - Full Time,Low,Medium
CUST0000365,43,Male,Belfast,Retired,High,High
CUST0000366,40,Female,Manchester,Employed - Part Time,Low,Low
CUST0000367,47,Female,Birmingham,Unemployed,High,Low
CUST0000368,51,Male,London,Employed - Part Time,Low,Low
CUST0000369,39,Male,Southampton,Retired,Low,Medium
CUST0000370,39,Male,London,Student,Medium,Medium
CUST0000371,43,Male,London,Employed - Full Time,Medium,High
CUST0000372,33,Male,Southampton,Employed - Full Time,High,Low
CUST0000373,38,Female,Manchester,Retired,Medium,Low
CUST0000374,30,Female,Manchester,Employed - Full Time,Low,Medium
CUST0000375,53,Female,Newcastle,Employed - Full Time,High,High
CUST0000376,42,Female,Liverpool,Employed - Full Time,Medium,Low
CUST0000377,27,Male,Leeds,Employed - Full Time,Medium,Medium
CUST0000378,30,Female,London,Employed - Full Time,Low,Low
CUST0000379,58,Female,Leicester,Student,Low,High
CUST0000380,53,Male,Leeds,Self-Employed,Low,Low
CUST0000381,45,Male,Nottingham,Employed - Part Time,High,Low
CUST0000382,37,Male,London,Self-Employed,Medium,Medium
CUST0000383,63,Male,London,Employed - Part Time,Medium,Medium
CUST0000384,42,Male,London,Employed - Full Time,Medium,Medium
CUST0000385,53,Male,Cardiff,Employed - Full Time,Medium,Low
CUST0000386,41,Male,Nottingham,Employed - Part Time,Medium,Medium
CUST0000387,58,Male,Belfast,Employed - Full Time,Low,Low
CUST0000388,50,Female,Newcastle,Employed - Part Time,Low,Medium
CUST0000389,42,Male,Coventry,Retired,Medium,Low
CUST0000390,34,Female,Manchester,Self-Employed,Low,Low
CUST0000391,32,Male,Leeds,Unemployed,Medium,Medium
CUST0000392,31,Female,London,Employed - Part Time,Low,Low
CUST0000393,20,Female,London,Self-Employed,High,Low
CUST0000394,32,Female,Liverpool,Self-Employed,High,Low
CUST0000395,61,Male,Leicester,Employed - Part Time,Medium,Low
CUST0000396,49,Male,Edinburgh,Employed - Full Time,Medium,Low
CUST0000397,41,Female,London,Retired,Low,Medium
CUST0000398,31,Male,Glasgow,Employed - Full Time,High,Medium
CUST0000399,20,Female,Southampton,Employed - Part Time,High,Medium
CUST0000400,71,Male,Newcastle,Retired,Low,Low
CUST0000401,37,Female,London,Self-Employed,Medium,High
CUST0000402,51,Female,Leeds,Employed - Full Time,Medium,Low
CUST0000403,37,Female,Birmingham,Employed - Full Time,Low,High
CUST0000404,30,Male,Nottingham,Retired,Medium,Low
CUST0000405,28,Female,London,Employed - Part Time,Low,Medium
CUST0000406,33,Female,Bristol,Employed - Full Time,Low,Medium
CUST0000407,41,Male,London,Employed - Part Time,Medium,Low
CUST0000408,28,Male,Liverpool,Retired,Medium,Low
CUST0000409,42,Female,Edinburgh,Self-Employed,Low,Low
CUST0000410,68,Female,London,Employed - Full Time,Low,Low
CUST0000411,37,Male,Nottingham,Self-Employed,Medium,Low
CUST0000412,33,Female,Coventry,Employed - Full Time,Low,Low
CUST0000413,64,Female,Glasgow,Employed - Full Time,Medium,Low
CUST0000414,40,Male,Leicester,Employed - Full Time,Low,Low
CUST0000415,56,Female,Leeds,Employed - Full Time,Low,Low
CUST0000416,32,Female,Cardiff,Student,High,Low
CUST0000417,25,Female,Birmingham,Self-Employed,Medium,High
CUST0000418,21,Male,London,Employed - Full Time,Medium,Medium
CUST0000419,19,Male,Edinburgh,Retired,Medium,Medium
CUST0000420,33,Male,Manchester,Employed - Part Time,Low,Medium
CUST0000421,55,Female,Cardiff,Unemployed,High,Low
CUST0000422,29,Male,Birmingham,Employed - Full Time,Low,Medium
CUST0000423,49,Female,London,Employed - Full Time,Medium,Medium
CUST0000424,32,Male,Edinburgh,Employed - Part Time,Medium,Medium
CUST0000425,27,Other/Prefer not to say,Manchester,Employed - Full Time,High,Medium
CUST0000426,42,Male,Liverpool,Unemployed,Medium,Low
CUST0000427,77,Male,Bristol,Unemployed,Medium,Low
CUST0000428,44,Male,Bristol,Self-Employed,Medium,Low
CUST0000429,57,Female,Bristol,Employed - Part Time,Medium,High
CUST0000430,44,Female,London,Employed - Part Time,Medium,Low
CUST0000431,33,Male,Birmingham,Employed - Full Time,Low,Low
CUST0000432,52,Female,London,Student,Medium,Medium
CUST0000433,32,Female,London,Student,Low,Low
CUST0000434,64,Female,Birmingham,Employed - Full Time,Medium,Low
CUST0000435,64,Other/Prefer not to say,Edinburgh,Employed - Full Time,Medium,Low
CUST0000436,36,Male,Edinburgh,Self-Employed,Medium,Medium
CUST0000437,29,Male,Bristol,Employed - Full Time,Medium,Medium
CUST0000438,24,Male,London,Unemployed,Medium,Low
CUST0000439,30,Female,Coventry,Employed - Full Time,Low,Medium
CUST0000440,32,Other/Prefer not to say,Belfast,Employed - Full Time,Low,Low
CUST0000441,60,Female,Newcastle,Employed - Full Time,Low,Medium
CUST0000442,25,Other/Prefer not to say,Manchester,Employed - Full Time,Medium,Medium
CUST0000443,28,Female,Manchester,Employed - Part Time,Medium,High
CUST0000444,69,Female,London,Employed - Full Time,Medium,Medium
CUST0000445,35,Female,Manchester,Self-Employed,High,Low
CUST0000446,24,Male,Manchester,Self-Employed,Medium,Low
CUST0000447,36,Female,Manchester,Employed - Full Time,High,Low
CUST0000448,53,Female,London,Employed - Part Time,High,High
CUST0000449,27,Male,London,Retired,Medium,Medium
CUST0000450,49,Female,Liverpool,Employed - Part Time,Medium,Medium
CUST0000451,29,Male,London,Unemployed,Medium,Medium
